#@ Using S/N > 6 for detection threshold on zuul
#@ Using beams within 0.5 deg of pulsars in timing_GBNCC_071118.txt 
#@ Only searched for published pulsars
#@ Flux adjusted for offset from beam center
#@ Exclamation points next to Wcat and Wsmr indicate cases where W50 is not published, so the average ratio of W50/P0 is used
#@ S/Ne = expected S/N estimated from published flux values using width calculated from data
#@ S/Nc = expected S/N calculated using catalog W50
#@ S/Ns = S/N calulated using Weff (smeared out)
#@ S/Nm = measured S/N 
#@ Flux estimated from measured S/N, uncertainty estimated from dependencies
#@ File generated 2018-09-10 17:07:26 (ET)
#@  PSRJ  	 RA 	 Dec 	 P0 		 DM 	 Dist  	 MJD     BW	 Spindx  Temp 	Wdat  	Wcat 	Wsmr 	 S/Ne 	 S/Nc 	 S/Ns	S/Nm 	   Flux		 dFlux		Status 
#@		(deg)	 (deg) 	 (s) 		 (p/cc)	 (deg)	 (day)	(MHz)		 (K) 	(s)    	(s)    	(s)    					   (mJy)	 (mJy)  
J0943+41    	 145.8 	 41.14 	 2.23     	 21.0 	 0.000 	 55651 	 97.7 	 * 	 45.34 	 29.1795 	 2.39! 	 9.57! 	 633.19	 662.59	325.22	65.489	   1.1161    	 0.4893    	Detected in Beam  25990
J0943+41    	 145.8 	 41.14 	 2.23     	 21.0 	 0.000 	 55635 	 97.7 	 * 	 45.34 	 24.1771 	 2.39! 	 9.57! 	 696.41	 662.59	325.22	80.116	   1.2414    	 0.5900    	Detected in Beam  25990
J0943+41    	 145.8 	 41.14 	 2.23     	 21.0 	 0.495 	 55651 	 97.7 	 * 	 45.34 	 292.040 	 2.39! 	 9.57! 	 30.469	 107.49	52.761	0.0	   0.0    	 0.0    	Not Detected in  26367
J0943+41    	 145.8 	 41.14 	 2.23     	 21.0 	 0.495 	 55635 	 98.3 	 * 	 45.34 	 39.3341 	 2.39! 	 9.57! 	 88.518	 107.79	52.908	3.8534	   0.4697    	 0.3069    	Not Detected in  26367
J1017-15    	 154.3 	 -15.3 	 0.0831   	 17.0 	 0.004 	 57098 	 78.8 	 * 	 55.47 	 4.01773 	 2.39! 	 9.57! 	 *	 *	*	8.1368	   0.3697    	 0.1225    	Detected in Beam  96059
J1045-04    	 161.3 	 -4.73 	 0.024    	 4.8 	 0.001 	 57156 	 77.3 	 * 	 52.99 	 1.26448 	 1.53! 	 6.12! 	 *	 *	*	68.910	   3.1602    	 1.0927    	Detected in Beam  82275
J1101+65    	 165.3 	 65.11 	 3.631    	 19.0 	 0.007 	 55227 	 96.1 	 * 	 53.24 	 30.8714 	 2.39! 	 9.57! 	 803.92	 676.54	332.07	34.112	   0.5537    	 0.2928    	Detected in Beam  07051
J1110+58    	 167.6 	 58.86 	 0.793    	 26.0 	 0.499 	 55257 	 96.0 	 * 	 52.20 	 59.7466 	 2.39! 	 9.57! 	 6.4386	 16.702	8.1981	0.0	   0.0    	 0.0    	Not Detected in  10711
J1110+58    	 167.6 	 58.86 	 0.793    	 26.0 	 0.006 	 55285 	 95.8 	 * 	 52.20 	 11.4741 	 2.39! 	 9.57! 	 96.265	 106.00	52.029	23.296	   0.4858    	 0.1984    	Detected in Beam  10944
J1110+58    	 167.6 	 58.86 	 0.793    	 26.0 	 0.486 	 55285 	 95.9 	 * 	 52.20 	 39.3752 	 2.39! 	 9.57! 	 8.8557	 18.395	9.0292	1.7135	   0.3884    	 0.2813    	Not Detected in  11177
J1115-24    	 168.8 	 -24.6 	 0.868    	 30.0 	 0.012 	 56719 	 92.0 	 * 	 56.07 	 10.7773 	 2.39! 	 9.57! 	 *	 *	*	99.049	   2.0969    	 0.8989    	Detected in Beam 107717
J1115-24    	 168.8 	 -24.6 	 0.868    	 30.0 	 0.493 	 56744 	 89.1 	 * 	 56.07 	 52.6239 	 2.39! 	 9.57! 	 *	 *	*	2.4428	   0.7229    	 0.3023    	Not Detected in 108094
J1120-23    	 170.0 	 -23.7 	 0.497    	 9.9 	 0.008 	 56663 	 94.4 	 * 	 56.07 	 6.06355 	 2.39! 	 9.57! 	 *	 *	*	26.961	   0.5583    	 0.2412    	Detected in Beam 106586
J1120-23    	 170.0 	 -23.7 	 0.497    	 9.9 	 0.494 	 56718 	 86.9 	 * 	 56.07 	 6.21778 	 2.39! 	 9.57! 	 *	 *	*	7.6388	   1.0243    	 0.3121    	Detected in Beam 106963
J1122-35    	 170.7 	 -35.7 	 0.007837 	 39.0 	 0.495 	 56907 	 89.8 	 * 	 57.26 	 0.26901 	 0.59! 	 2.66! 	 *	 *	*	5.2755	   1.1935    	 0.3217    	Not Detected in 119972
J1122-35    	 170.7 	 -35.7 	 0.007837 	 39.0 	 0.006 	 56907 	 88.8 	 * 	 57.26 	 1.30363 	 0.14! 	 0.66! 	 *	 *	*	4.8831	   0.4278    	 0.1422    	Not Detected in 120349
J1122-35    	 170.7 	 -35.7 	 0.007837 	 39.0 	 0.490 	 56908 	 84.3 	 * 	 57.26 	 0.98818 	 0.03! 	 0.16! 	 *	 *	*	0.0	   0.0    	 0.0    	Not Detected in 120726
J1122+78    	 170.7 	 78.44 	 0.0042   	 11.2 	 0.499 	 55168 	 95.5 	 * 	 73.75 	 0.24928 	 0.59! 	 2.47! 	 *	 *	*	2.0092	   0.7810    	 0.3210    	Not Detected in  01451
J1122+78    	 170.7 	 78.44 	 0.0042   	 11.2 	 0.007 	 55168 	 95.2 	 * 	 73.75 	 0.44228 	 0.14! 	 0.61! 	 *	 *	*	93.533	   7.8279    	 2.5927    	Detected in Beam  01540
J1122+78    	 170.7 	 78.44 	 0.0042   	 11.2 	 0.487 	 55168 	 95.2 	 * 	 73.75 	 0.46136 	 0.03! 	 0.15! 	 *	 *	*	54.435	   27.068    	 1.5595    	Detected in Beam  01629
J1127-38    	 172.0 	 -38.5 	 0.877    	 48.0 	 0.497 	 56969 	 81.9 	 * 	 57.26 	 24.2656 	 2.39! 	 9.57! 	 *	 *	*	2.5119	   0.5418    	 0.3132    	Not Detected in 123022
J1127-38    	 172.0 	 -38.5 	 0.877    	 48.0 	 0.010 	 56990 	 82.0 	 * 	 57.26 	 25.2401 	 2.39! 	 9.57! 	 *	 *	*	73.851	   2.5966    	 0.8886    	Detected in Beam 123399
J1127-38    	 172.0 	 -38.5 	 0.877    	 48.0 	 0.489 	 56990 	 81.9 	 * 	 57.26 	 24.4741 	 2.39! 	 9.57! 	 *	 *	*	63.567	   12.998    	 0.8098    	Detected in Beam 123776
J1154-19    	 178.5 	 -19.7 	 0.0111   	 10.7 	 0.491 	 56998 	 82.5 	 * 	 55.47 	 1.10713 	 1.53! 	 6.15! 	 *	 *	*	0.0	   0.0    	 0.0    	Not Detected in 101253
J1154-19    	 178.5 	 -19.7 	 0.0111   	 10.7 	 0.011 	 56999 	 87.6 	 * 	 55.47 	 0.46538 	 0.98! 	 3.93! 	 *	 *	*	29.404	   1.1775    	 0.4097    	Detected in Beam 101630
J1221-06    	 185.3 	 -6.54 	 0.00193  	 16.0 	 0.008 	 57379 	 84.6 	 * 	 55.47 	 0.17345 	 0.59! 	 3.09! 	 *	 *	*	13.872	   0.8488    	 0.3090    	Detected in Beam  84652
J1235-36    	 188.8 	 -36.5 	 0.569    	 59.0 	 0.492 	 56929 	 93.3 	 * 	 57.26 	 24.5885 	 2.39! 	 9.57! 	 *	 *	*	2.7770	   0.6809    	 0.2994    	Not Detected in 120862
J1235-36    	 188.8 	 -36.5 	 0.569    	 59.0 	 0.000 	 56929 	 92.2 	 * 	 57.26 	 9.28942 	 2.39! 	 9.57! 	 *	 *	*	66.076	   1.6384    	 0.6307    	Detected in Beam 121239
J1235-36    	 188.8 	 -36.5 	 0.569    	 59.0 	 0.493 	 56962 	 80.8 	 * 	 57.26 	 8.29078 	 2.39! 	 9.57! 	 *	 *	*	41.261	   6.2438    	 0.5114    	Detected in Beam 121616
J1239+32    	 189.9 	 32.53 	 0.0047   	 17.0 	 0.493 	 56053 	 94.6 	 * 	 65.85 	 0.35919 	 0.59! 	 2.54! 	 *	 *	*	1.4212	   0.5411    	 0.3005    	Not Detected in  34747
J1239+32    	 189.9 	 32.53 	 0.0047   	 17.0 	 7.248 	 56054 	 94.7 	 * 	 65.85 	 1.02551 	 0.14! 	 0.63! 	 *	 *	*	7.4322	   0.8574    	 0.2696    	Detected in Beam  35124
J1239+32    	 189.9 	 32.53 	 0.0047   	 17.0 	 0.493 	 56054 	 94.8 	 * 	 65.85 	 0.35890 	 0.03! 	 0.15! 	 *	 *	*	2.9458	   1.1212    	 0.3066    	Not Detected in  35501
J1308-23    	 197.1 	 -23.5 	 0.002831 	 22.0 	 0.496 	 56662 	 94.2 	 * 	 55.08 	 0.20330 	 0.59! 	 3.01! 	 *	 *	*	1.3690	   0.4315    	 0.3082    	Not Detected in 105947
J1308-23    	 197.1 	 -23.5 	 0.002831 	 22.0 	 0.006 	 56718 	 87.4 	 * 	 55.08 	 0.28552 	 0.14! 	 0.75! 	 *	 *	*	5.6219	   0.3581    	 0.1276    	Not Detected in 106324
J1316-01    	 199.1 	 -1.78 	 0.002908 	 29.4 	 0.007 	 57542 	 78.0 	 * 	 52.99 	 0.30757 	 0.59! 	 3.38! 	 *	 *	*	4.0501	   0.2697    	 0.0970    	Not Detected in  78366
J1320+67    	 200.2 	 67.50 	 1.029    	 28.0 	 0.003 	 55200 	 95.7 	 * 	 56.52 	 13.9236 	 2.39! 	 9.57! 	 80.444	 85.621	42.026	31.686	   0.6919    	 0.2855    	Detected in Beam  05781
J1327+34    	 201.9 	 34.52 	 0.0415   	 4.2 	 0.485 	 56051 	 94.9 	 * 	 66.00 	 5.13233 	 1.53! 	 6.12! 	 *	 *	*	0.0	   0.0    	 0.0    	Not Detected in  32553
J1327+34    	 201.9 	 34.52 	 0.0415   	 4.2 	 0.007 	 56052 	 94.8 	 * 	 66.00 	 1.06799 	 0.98! 	 3.92! 	 *	 *	*	122.56	   4.3589    	 1.6328    	Detected in Beam  32930
J1327+34    	 201.9 	 34.52 	 0.0415   	 4.2 	 0.499 	 56052 	 94.9 	 * 	 66.00 	 1.16841 	 0.62! 	 2.50! 	 *	 *	*	82.935	   19.609    	 1.1676    	Detected in Beam  33307
J1336-25    	 204.0 	 -25.4 	 0.478    	 37.0 	 0.013 	 56751 	 93.9 	 * 	 55.08 	 14.3202 	 2.39! 	 9.57! 	 *	 *	*	68.279	   2.2037    	 0.7521    	Detected in Beam 108654
J1336-25    	 204.0 	 -25.4 	 0.478    	 37.0 	 0.489 	 56752 	 92.0 	 * 	 55.08 	 33.3782 	 2.39! 	 9.57! 	 *	 *	*	1.3708	   0.4092    	 0.2885    	Not Detected in 109031
J1432+72    	 218.1 	 72.60 	 0.041740 	 12.6 	 0.494 	 55196 	 95.9 	 * 	 96.99 	 4.34047 	 1.53! 	 6.12! 	 *	 *	*	0.0	   0.0    	 0.0    	Not Detected in  03333
J1432+72    	 218.1 	 72.60 	 0.041740 	 12.6 	 9.708 	 55196 	 94.9 	 * 	 96.99 	 2.30690 	 0.98! 	 3.92! 	 *	 *	*	1.9433	   0.1510    	 0.0454    	Not Detected in  03477
J1432+72    	 218.1 	 72.60 	 0.041740 	 12.6 	 0.493 	 55196 	 96.0 	 * 	 96.99 	 3.20672 	 0.62! 	 2.51! 	 *	 *	*	0.8035	   0.4482    	 0.2993    	Not Detected in  03621
J1505-25    	 226.3 	 -25.1 	 0.999    	 44.8 	 0.498 	 56752 	 93.0 	 * 	 55.08 	 19.7004 	 2.39! 	 9.57! 	 *	 *	*	3.5906	   0.5922    	 0.3164    	Not Detected in 107981
J1505-25    	 226.3 	 -25.1 	 0.999    	 44.8 	 0.001 	 56754 	 93.9 	 * 	 55.08 	 17.5692 	 2.39! 	 9.57! 	 *	 *	*	31.473	   0.7721    	 0.2928    	Detected in Beam 108358
J1505-25    	 226.3 	 -25.1 	 0.999    	 44.8 	 0.497 	 56754 	 93.2 	 * 	 55.08 	 15.5629 	 2.39! 	 9.57! 	 *	 *	*	14.035	   2.0295    	 0.3359    	Detected in Beam 108735
J1515-32    	 228.9 	 -32.6 	 0.0644   	 25.0 	 0.493 	 56936 	 90.5 	 * 	 55.08 	 5.17395 	 2.39! 	 9.57! 	 *	 *	*	68.708	   23.040    	 1.2639    	Detected in Beam 116665
J1515-32    	 228.9 	 -32.6 	 0.0644   	 25.0 	 0.000 	 56958 	 88.8 	 * 	 55.08 	 4.76031 	 2.39! 	 9.57! 	 *	 *	*	6.7856	   0.3615    	 0.1173    	Detected in Beam 117042
J1515-32    	 228.9 	 -32.6 	 0.0644   	 25.0 	 0.492 	 56962 	 91.1 	 * 	 55.08 	 3.04591 	 2.39! 	 9.57! 	 *	 *	*	2.7108	   0.6799    	 0.3003    	Not Detected in 117419
J1529-26    	 232.2 	 -26.4 	 0.799    	 45.0 	 0.499 	 56755 	 93.1 	 * 	 55.08 	 18.5960 	 2.39! 	 9.57! 	 *	 *	*	23.985	   4.3392    	 0.3998    	Detected in Beam 109468
J1529-26    	 232.2 	 -26.4 	 0.799    	 45.0 	 0.005 	 56773 	 93.3 	 * 	 55.08 	 18.4558 	 2.39! 	 9.57! 	 *	 *	*	22.837	   0.6463    	 0.2299    	Detected in Beam 109845
J1529-26    	 232.2 	 -26.4 	 0.799    	 45.0 	 0.494 	 56773 	 92.4 	 * 	 55.08 	 90.8866 	 2.39! 	 9.57! 	 *	 *	*	9.5715	   3.8699    	 0.3640    	Detected in Beam 110222
J1530-21    	 232.5 	 -21.3 	 0.505    	 38.0 	 0.000 	 56588 	 92.8 	 * 	 55.08 	 11.9513 	 2.39! 	 9.57! 	 *	 *	*	17.440	   0.5009    	 0.1774    	Detected in Beam 103690
J1536-30    	 234.1 	 -30.1 	 1.901    	 63.0 	 0.492 	 56907 	 90.6 	 * 	 55.08 	 180.323 	 2.39! 	 9.57! 	 *	 *	*	0.5999	   0.2193    	 0.2983    	Not Detected in 113738
J1536-30    	 234.1 	 -30.1 	 1.901    	 63.0 	 0.005 	 56908 	 85.4 	 * 	 55.08 	 22.0750 	 2.39! 	 9.57! 	 *	 *	*	30.874	   0.6435    	 0.2863    	Detected in Beam 114115
J1536-30    	 234.1 	 -30.1 	 1.901    	 63.0 	 0.495 	 56908 	 85.3 	 * 	 55.08 	 228.541 	 2.39! 	 9.57! 	 *	 *	*	0.0	   0.0    	 0.0    	Not Detected in 114492
J1611-29    	 242.9 	 -29.9 	 0.0096   	 83.0 	 0.488 	 56907 	 89.5 	 * 	 55.08 	 0.71601 	 0.59! 	 3.61! 	 *	 *	*	2.7443	   0.8592    	 0.2923    	Not Detected in 113573
J1611-29    	 242.9 	 -29.9 	 0.0096   	 83.0 	 0.006 	 56907 	 87.5 	 * 	 55.08 	 1.25761 	 0.14! 	 0.90! 	 *	 *	*	0.0	   0.0    	 0.0    	Not Detected in 113950
J1627+86    	 246.7 	 86.90 	 0.396    	 47.0 	 0.008 	 55149 	 94.8 	 * 	 58.45 	 10.3080 	 2.39! 	 9.57! 	 221.77	 329.48	161.71	17.297	   0.5480    	 0.1878    	Detected in Beam  00110
J1629+33    	 247.3 	 33.39 	 1.525    	 35.0 	 0.495 	 56089 	 94.3 	 * 	 66.85 	 73.6725 	 2.39! 	 9.57! 	 *	 *	*	0.8790	   0.2713    	 0.3059    	Not Detected in  33791
J1629+33    	 247.3 	 33.39 	 1.525    	 35.0 	 0.002 	 56089 	 94.4 	 * 	 66.85 	 42.7366 	 2.39! 	 9.57! 	 *	 *	*	20.838	   0.7857    	 0.2584    	Detected in Beam  34168
J1629+33    	 247.3 	 33.39 	 1.525    	 35.0 	 0.490 	 56107 	 90.8 	 * 	 66.85 	 545.433 	 2.39! 	 9.57! 	 *	 *	*	0.0	   0.0    	 0.0    	Not Detected in  34545
J1629+43    	 247.3 	 43.98 	 0.181    	 7.3 	 0.001 	 55553 	 95.8 	 * 	 54.88 	 7.49715 	 2.39! 	 9.57! 	 106.73	 201.64	98.971	35.951	   1.3524    	 0.4484    	Detected in Beam  23222
J1638-35    	 249.5 	 -35.2 	 0.705    	 115.0 	 0.496 	 57121 	 91.5 	 * 	 55.08 	 27.5300 	 2.39! 	 9.58! 	 *	 *	*	2.0433	   0.4753    	 0.3095    	Not Detected in 119474
J1638-35    	 249.5 	 -35.2 	 0.705    	 115.0 	 0.005 	 57123 	 87.0 	 * 	 55.08 	 11.1042 	 2.39! 	 9.58! 	 *	 *	*	25.215	   0.6079    	 0.2392    	Detected in Beam 119851
J1638-35    	 249.5 	 -35.2 	 0.705    	 115.0 	 0.488 	 57123 	 88.3 	 * 	 55.08 	 34.2574 	 2.39! 	 9.58! 	 *	 *	*	0.8588	   0.2154    	 0.2872    	Not Detected in 120228
J1644-33    	 251.0 	 -33.3 	 0.397    	 130.0 	 0.497 	 56989 	 92.6 	 * 	 55.08 	 12.5587 	 2.39! 	 9.66! 	 *	 *	*	3.3284	   0.6930    	 0.3123    	Not Detected in 117356
J1644-33    	 251.0 	 -33.3 	 0.397    	 130.0 	 0.010 	 56989 	 92.2 	 * 	 55.08 	 13.7628 	 2.39! 	 9.66! 	 *	 *	*	26.970	   0.9467    	 0.3185    	Detected in Beam 117733
J1644-33    	 251.0 	 -33.3 	 0.397    	 130.0 	 0.489 	 57091 	 91.7 	 * 	 55.08 	 27.0343 	 2.39! 	 9.66! 	 *	 *	*	0.6779	   0.2000    	 0.2879    	Not Detected in 118110
J1647+66    	 251.9 	 66.06 	 1.599    	 22.0 	 0.006 	 55202 	 96.0 	 * 	 66.05 	 29.4877 	 2.39! 	 9.57! 	 138.85	 172.96	84.895	73.762	   2.1997    	 0.7924    	Detected in Beam  06532
J1649+80    	 252.4 	 80.74 	 0.00202  	 31.0 	 0.009 	 55166 	 95.0 	 * 	 58.01 	 0.16566 	 0.59! 	 4.34! 	 89.570	 243.29	86.734	0.0	   0.0    	 0.0    	Not Detected in  00987
J1649+80    	 252.4 	 80.74 	 0.00202  	 31.0 	 0.496 	 55166 	 95.2 	 * 	 58.01 	 0.24623 	 0.14! 	 1.08! 	 11.562	 78.652	28.892	0.0	   0.0    	 0.0    	Not Detected in  01076
J1706+59    	 256.6 	 59.16 	 1.477    	 31.0 	 0.490 	 55284 	 95.8 	 * 	 63.82 	 104.542 	 2.39! 	 9.57! 	 29.161	 73.142	35.901	0.6646	   0.2288    	 0.2908    	Not Detected in  10514
J1706+59    	 256.6 	 59.16 	 1.477    	 31.0 	 0.002 	 55284 	 95.8 	 * 	 63.82 	 17.4777 	 2.39! 	 9.57! 	 436.04	 433.64	212.84	39.446	   0.9081    	 0.3903    	Detected in Beam  10747
J1706+59    	 256.6 	 59.16 	 1.477    	 31.0 	 0.495 	 55284 	 95.8 	 * 	 63.82 	 19.5447 	 2.39! 	 9.57! 	 66.841	 70.343	34.526	180.62	   27.127    	 1.8224    	Detected in Beam  10980
J1710+49    	 257.6 	 49.33 	 0.00322  	 7.1 	 0.000 	 55416 	 95.0 	 * 	 61.58 	 0.22940 	 0.59! 	 2.44! 	 313.40	 788.83	382.50	8.7923	   0.4963    	 0.1863    	Detected in Beam  18355
J1733-01    	 263.4 	 -1.62 	 0.302    	 61.9 	 0.004 	 57535 	 80.2 	 * 	 52.99 	 13.0302 	 2.39! 	 9.57! 	 *	 *	*	7.5195	   0.3048    	 0.1029    	Detected in Beam  78143
J1741-02    	 265.4 	 -2.14 	 0.132    	 81.8 	 0.003 	 57542 	 78.5 	 * 	 52.99 	 4.52793 	 2.39! 	 9.60! 	 *	 *	*	12.544	   0.4564    	 0.1570    	Detected in Beam  78842
J1741-21    	 265.2 	 -21.8 	 2.565    	 151.0 	 0.010 	 56591 	 93.3 	 * 	 55.08 	 92.6898 	 2.39! 	 9.57! 	 *	 *	*	9.6516	   0.3441    	 0.1152    	Detected in Beam 104305
J1741-21    	 265.2 	 -21.8 	 2.565    	 151.0 	 0.495 	 56663 	 93.8 	 * 	 55.08 	 111.339 	 2.39! 	 9.57! 	 *	 *	*	0.9527	   0.2300    	 0.3064    	Not Detected in 104682
J1800+50    	 270.1 	 50.47 	 0.578    	 23.0 	 0.004 	 55384 	 94.9 	 * 	 62.03 	 14.1080 	 2.39! 	 9.57! 	 907.10	 1303.9	640.00	63.479	   2.0636    	 0.7056    	Detected in Beam  17381
J1806+28    	 271.5 	 28.49 	 0.0151   	 18.7 	 0.495 	 56254 	 94.3 	 * 	 60.44 	 1.20002 	 1.53! 	 6.17! 	 *	 *	*	0.7951	   0.2892    	 0.3057    	Not Detected in  39362
J1806+28    	 271.5 	 28.49 	 0.0151   	 18.7 	 0.000 	 56254 	 94.3 	 * 	 60.44 	 1.84484 	 0.98! 	 3.94! 	 *	 *	*	25.598	   1.9181    	 0.6035    	Detected in Beam  39739
J1806+28    	 271.5 	 28.49 	 0.0151   	 18.7 	 0.495 	 56296 	 94.4 	 * 	 60.44 	 1.01290 	 0.62! 	 2.52! 	 *	 *	*	0.8922	   0.2956    	 0.3053    	Not Detected in  40116
J1815+55    	 273.7 	 55.47 	 0.427    	 59.0 	 0.006 	 55346 	 95.4 	 * 	 66.95 	 10.8954 	 2.39! 	 9.57! 	 147.23	 216.51	106.26	21.478	   0.7688    	 0.2564    	Detected in Beam  13378
J1815+55    	 273.7 	 55.47 	 0.427    	 59.0 	 0.494 	 55346 	 95.6 	 * 	 66.95 	 31.4992 	 2.39! 	 9.57! 	 13.853	 35.530	17.438	3.4676	   1.3191    	 0.3085    	Not Detected in  13611
J1816+45    	 274.1 	 44.90 	 0.00319  	 38.9 	 0.000 	 55526 	 94.3 	 * 	 70.32 	 0.29031 	 0.59! 	 3.75! 	 *	 *	*	57.736	   4.2687    	 1.4690    	Detected in Beam  22350
J1819-37    	 274.7 	 -37.3 	 0.632    	 68.0 	 0.489 	 57155 	 88.1 	 * 	 55.08 	 63.4648 	 2.39! 	 9.57! 	 *	 *	*	2.9074	   1.0875    	 0.2956    	Not Detected in 121707
J1819-37    	 274.7 	 -37.3 	 0.632    	 68.0 	 0.003 	 57170 	 89.6 	 * 	 55.08 	 8.11922 	 2.39! 	 9.57! 	 *	 *	*	59.431	   1.2732    	 0.5405    	Detected in Beam 122084
J1819-37    	 274.7 	 -37.3 	 0.632    	 68.0 	 0.496 	 57170 	 86.2 	 * 	 55.08 	 35.8358 	 2.39! 	 9.57! 	 *	 *	*	2.5811	   0.7509    	 0.3100    	Not Detected in 122461
J1821+41    	 275.4 	 41.74 	 1.262    	 40.0 	 0.497 	 55689 	 94.7 	 * 	 54.13 	 98.5196 	 2.39! 	 9.57! 	 10.018	 26.494	13.004	0.6411	   0.2087    	 0.3099    	Not Detected in  25023
J1821+41    	 275.4 	 41.74 	 1.262    	 40.0 	 0.000 	 55689 	 94.7 	 * 	 54.13 	 9.53605 	 2.39! 	 9.57! 	 208.27	 165.15	81.063	47.994	   0.7518    	 0.4288    	Detected in Beam  25400
J1821+41    	 275.4 	 41.74 	 1.262    	 40.0 	 0.496 	 55691 	 95.0 	 * 	 54.13 	 86.6021 	 2.39! 	 9.57! 	 10.825	 26.704	13.107	1.4561	   0.4388    	 0.3083    	Not Detected in  25777
J1822+02    	 275.6 	 2.731 	 1.508    	 103.0 	 0.000 	 57665 	 79.2 	 * 	 56.37 	 65.7071 	 2.39! 	 9.57! 	 *	 *	*	24.904	   1.0863    	 0.3603    	Detected in Beam  72378
J1829+25    	 277.4 	 25.06 	 2.857    	 74.0 	 0.494 	 56277 	 94.2 	 * 	 60.44 	 26.2826 	 2.39! 	 9.57! 	 *	 *	*	16.094	   1.9121    	 0.3408    	Detected in Beam  43433
J1829+25    	 277.4 	 25.06 	 2.857    	 74.0 	 0.003 	 56458 	 94.7 	 * 	 60.44 	 33.5467 	 2.39! 	 9.57! 	 *	 *	*	27.279	   0.5958    	 0.2591    	Detected in Beam  43810
J1836+51    	 279.1 	 51.85 	 0.69192  	 44.0 	 0.000 	 55385 	 97.7 	 * 	 72.76 	 209.951 	 2.39! 	 9.57! 	 *	 *	*	40.732	   6.3845    	 1.8914    	Detected in Beam  16229
J1836+51    	 279.1 	 51.85 	 0.69192  	 44.0 	 0.000 	 55385 	 95.1 	 * 	 72.76 	 209.951 	 2.39! 	 9.57! 	 *	 *	*	40.732	   6.4731    	 1.9209    	Detected in Beam  16229
J1836+51    	 279.1 	 51.85 	 0.69192  	 44.0 	 0.000 	 55385 	 97.7 	 * 	 72.76 	 209.951 	 2.39! 	 9.57! 	 *	 *	*	40.732	   6.3845    	 1.8914    	Detected in Beam  16229
J1842-39    	 280.5 	 -39.7 	 0.374    	 47.0 	 0.013 	 57384 	 87.0 	 * 	 55.08 	 32.5621 	 2.39! 	 9.57! 	 *	 *	*	37.388	   2.2032    	 0.7126    	Detected in Beam 124558
J1859+76    	 284.7 	 76.89 	 1.394    	 47.0 	 0.003 	 55177 	 93.5 	 * 	 60.69 	 29.9935 	 2.39! 	 9.57! 	 137.89	 185.82	91.208	22.560	   0.6774    	 0.2389    	Detected in Beam  01979
J1901-04    	 285.3 	 -4.81 	 1.83     	 107.0 	 0.499 	 57544 	 83.1 	 * 	 55.18 	 109.257 	 2.39! 	 9.57! 	 *	 *	*	3.3998	   1.0597    	 0.3209    	Not Detected in  82028
J1901-04    	 285.3 	 -4.81 	 1.83     	 107.0 	 0.016 	 57544 	 84.3 	 * 	 55.18 	 104.036 	 2.39! 	 9.57! 	 *	 *	*	8.4222	   0.4017    	 0.1315    	Detected in Beam  82405
J1904+33    	 286.0 	 33.83 	 0.417    	 81.0 	 0.491 	 56052 	 94.4 	 * 	 66.85 	 21.9148 	 2.39! 	 9.57! 	 *	 *	*	10.193	   3.1860    	 0.3371    	Detected in Beam  33309
J1904+33    	 286.0 	 33.83 	 0.417    	 81.0 	 0.001 	 56053 	 94.3 	 * 	 66.85 	 14.4114 	 2.39! 	 9.57! 	 *	 *	*	17.463	   0.7338    	 0.2350    	Detected in Beam  33686
J1904+33    	 286.0 	 33.83 	 0.417    	 81.0 	 0.494 	 56073 	 94.1 	 * 	 66.85 	 41.6182 	 2.39! 	 9.57! 	 *	 *	*	0.0	   0.0    	 0.0    	Not Detected in  34063
J1907+57    	 286.7 	 57.32 	 0.424    	 55.0 	 0.496 	 55295 	 95.3 	 * 	 94.26 	 16.6417 	 2.39! 	 9.57! 	 *	 *	*	9.4408	   3.7023    	 0.3566    	Detected in Beam  11794
J1907+57    	 286.7 	 57.32 	 0.424    	 55.0 	 0.002 	 55330 	 95.0 	 * 	 94.26 	 12.6159 	 2.39! 	 9.57! 	 *	 *	*	30.988	   1.6935    	 0.5223    	Detected in Beam  12027
J1907+57    	 286.7 	 57.32 	 0.424    	 55.0 	 0.493 	 55330 	 95.0 	 * 	 94.26 	 15.8643 	 2.39! 	 9.57! 	 *	 *	*	4.2995	   1.6017    	 0.3089    	Not Detected in  12260
J1911+37    	 287.8 	 37.63 	 0.851    	 72.0 	 0.493 	 55988 	 95.7 	 * 	 66.85 	 16.4850 	 2.39! 	 9.57! 	 *	 *	*	23.486	   4.4155    	 0.3952    	Detected in Beam  29217
J1911+37    	 287.8 	 37.63 	 0.851    	 72.0 	 0.000 	 55988 	 95.9 	 * 	 66.85 	 13.0110 	 2.39! 	 9.57! 	 *	 *	*	30.191	   0.8284    	 0.3168    	Detected in Beam  29594
J1911+37    	 287.8 	 37.63 	 0.851    	 72.0 	 0.492 	 56017 	 94.7 	 * 	 66.85 	 52.9207 	 2.39! 	 9.57! 	 *	 *	*	1.5389	   0.5312    	 0.2993    	Not Detected in  29971
J1917-29    	 289.3 	 -29.5 	 1.249    	 38.0 	 0.488 	 56900 	 93.4 	 * 	 55.08 	 107.727 	 2.39! 	 9.57! 	 *	 *	*	0.6253	   0.2068    	 0.2860    	Not Detected in 113070
