#@ Using S/N > 6 for detection threshold on zuul
#@ Using beams within 0.5 deg of pulsars in timing_GBNCC_071118.txt 
#@ Only searched for published pulsars
#@ Flux adjusted for offset from beam center
#@ Exclamation points next to Wcat and Wsmr indicate cases where W50 is not published, so the average ratio of W50/P0 is used
#@ S/Ne = expected S/N estimated from published flux values using width calculated from data
#@ S/Nc = expected S/N calculated using catalog W50
#@ S/Ns = S/N calulated using Weff (smeared out)
#@ S/Nm = measured S/N 
#@ Flux estimated from measured S/N, uncertainty estimated from dependencies
#@ File generated 2018-09-10 17:07:26 (ET)
#@  PSRJ  	 RA 	 Dec 	 P0 		 DM 	 Dist  	 MJD     BW	 Spindx  Temp 	Wdat  	Wcat 	Wsmr 	 S/Ne 	 S/Nc 	 S/Ns	S/Nm 	   Flux		 dFlux		Status 
#@		(deg)	 (deg) 	 (s) 		 (p/cc)	 (deg)	 (day)	(MHz)		 (K) 	(s)    	(s)    	(s)    					   (mJy)	 (mJy)  
J0141+63    	 25.48 	 62.93 	 0.0467   	 273.0 	 0.006 	 55197 	 94.0 	 * 	 118.0 	 2.37731 	 0.98! 	 186.! 	 17.925	 47.261	W>P	8.0846	   0.7357    	 0.2197    	Detected in Beam  08327
J0213+52    	 33.34 	 52.52 	 0.376    	 38.0 	 0.493 	 55353 	 94.9 	 * 	 85.37 	 7.40112 	 2.39! 	 9.57! 	 *	 *	*	3.1241	   0.7578    	 0.3014    	Not Detected in  15448
J0213+52    	 33.34 	 52.52 	 0.376    	 38.0 	 0.022 	 55353 	 94.9 	 * 	 85.37 	 14.6118 	 2.39! 	 9.57! 	 *	 *	*	18.074	   1.0316    	 0.3110    	Detected in Beam  15681
J0216+52    	 34.07 	 52.23 	 0.024575 	 22.0 	 0.011 	 55353 	 94.9 	 * 	 85.37 	 0.91064 	 1.53! 	 6.14! 	 *	 *	*	19.478	   1.0815    	 0.3527    	Detected in Beam  15914
J0325+67    	 51.47 	 67.81 	 1.365    	 65.0 	 0.007 	 55171 	 95.4 	 * 	 87.95 	 16.2370 	 2.39! 	 9.57! 	 1034.9	 1031.9	506.52	42.448	   1.3535    	 0.5615    	Detected in Beam  05625
J0338+66    	 54.64 	 66.73 	 1.762    	 67.0 	 0.000 	 55179 	 94.5 	 * 	 87.95 	 31.2434 	 2.39! 	 9.57! 	 335.86	 410.09	201.28	39.894	   1.5650    	 0.5490    	Detected in Beam  06180
J0355+28    	 58.99 	 28.76 	 0.365    	 49.0 	 0.494 	 56277 	 94.2 	 * 	 56.72 	 20.1689 	 2.39! 	 9.57! 	 *	 *	*	1.6392	   0.4583    	 0.3042    	Not Detected in  39052
J0355+28    	 58.99 	 28.76 	 0.365    	 49.0 	 0.001 	 56277 	 94.1 	 * 	 56.72 	 9.88829 	 2.39! 	 9.57! 	 *	 *	*	20.030	   0.6306    	 0.2167    	Detected in Beam  39429
J0355+28    	 58.99 	 28.76 	 0.365    	 49.0 	 0.495 	 56277 	 94.0 	 * 	 56.72 	 11.2445 	 2.39! 	 9.57! 	 *	 *	*	14.742	   3.0637    	 0.3489    	Detected in Beam  39806
J0357+66    	 59.38 	 66.66 	 0.0915   	 62.0 	 0.001 	 55179 	 94.6 	 * 	 112.2 	 6.94160 	 2.39! 	 9.59! 	 *	 *	*	2.8406	   0.3031    	 0.0854    	Not Detected in  06214
