# Using S/N > 6 for detection threshold on zuul
# Using beams within 0.5 deg of pulsars from tmp
# Flux adjusted for offset from beam center
# Expected S/N estimated from published flux values
# Flux estimated from measured S/N, uncertainty estimated from dependencies
# File generated 2018-07-25 11:29:59 (ET)
#   PSRJ  	   RA 		     Dec 	 P0 			P1 	      DM 	 Distance  	  MJD   	 S/N exp. 	  S/N meas. 	     Est. Flux	   Flux Error	Status 
#		   (deg)   	    (deg) 	 (s) 			(s/s) 	      (p/cc) 	 (deg)		  (day)					             (mJy)  	   (mJy)  
  J0034+69	      8.5 	 69.71667 	 0.0368 	        * 	     80.0 	 0.0245821 	  55169  	  70.875	  23.667	     1.886    	   0.710    	Detected in Beam # 04709
  J0034+69	      8.5 	 69.71667 	 0.0368 	        * 	     80.0 	 0.4758030 	  55169  	  23.540	   2.969	     0.712    	   0.275    	Not Detected in # 04853
J0040+5716	 10.13484 	 57.27359 	 1.1182 	 2.878973E-15 	  92.5146 	 0.2070195 	  55325  	  108.04	  52.813	     4.600    	   1.556    	Detected in Beam # 11940
J0040+5716	 10.13484 	 57.27359 	 1.1182 	 2.878973E-15 	  92.5146 	 0.3015881 	  55325  	  75.620	  40.486	     5.039    	   1.195    	Detected in Beam # 12173
J0040+5716	 10.13484 	 57.27359 	 1.1182 	 2.878973E-15 	  92.5146 	 0.4928645 	  55325  	  24.541	  11.961	     4.587    	   0.462    	Detected in Beam # 12317
J0048+3412	  12.1416 	 34.20223 	 1.2171 	 2.35454E-15 	   39.922 	 0.3616157 	  55984  	  21.035	  11.489	     1.731    	   0.342    	Detected in Beam # 32934
J0048+3412	  12.1416 	 34.20223 	 1.2171 	 2.35454E-15 	   39.922 	 0.4064778 	  55985  	  22.925	  10.303	     1.424    	   0.245    	Detected in Beam # 33167
J0048+3412	  12.1416 	 34.20223 	 1.2171 	 2.35454E-15 	   39.922 	 0.2445984 	  56025  	  47.984	  15.239	     1.006    	   0.315    	Detected in Beam # 33544
  J0050+03	 12.62917 	      3.8 	 1.3666 	        * 	     26.5 	 0.4662315 	  58232  	       *	   0.000	     0.000    	   0.000    	Not Detected in # 70563
  J0050+03	 12.62917 	      3.8 	 1.3666 	        * 	     26.5 	 0.3571733 	  58232  	       *	   0.000	     0.000    	   0.000    	Not Detected in # 70796
  J0050+03	 12.62917 	      3.8 	 1.3666 	        * 	     26.5 	 0.1835184 	  58232  	       *	  28.166	    11.318    	   2.584    	Detected in Beam # 71173
J0051+0423	 12.87542 	  4.38028 	 0.3547 	    7E-18 	     13.9 	 0.3850135 	  58204  	  18.602	  33.873	     6.855    	   0.809    	Detected in Beam # 69809
J0051+0423	 12.87542 	  4.38028 	 0.3547 	    7E-18 	     13.9 	 0.1748162 	  58229  	  44.475	  44.887	     3.799    	   1.062    	Detected in Beam # 70186
J0051+0423	 12.87542 	  4.38028 	 0.3547 	    7E-18 	     13.9 	 0.4628465 	  58232  	  16.676	   4.790	     1.081    	   0.244    	Not Detected in # 70796
  J0053+69	    13.25 	    69.65 	 0.8329 	        * 	      117 	 0.0184375 	  55169  	  482.12	  29.471	     2.339    	   0.882    	Detected in Beam # 04743
  J0053+69	    13.25 	    69.65 	 0.8329 	        * 	      117 	 0.4843900 	  55169  	  150.09	   0.000	     0.000    	   0.000    	Not Detected in # 04887
