name ra dec p0 dm beam
J1555-0515 238.9 -5.26 0.975409 23.46 82908
J1555-2341 238.8 -23.6 0.532577 51.9 106397
J1555-3134 238.8 -31.5 0.518109 73.04 116123
J1603-2531 240.7 -25.5 0.28307 53.76 109070
J1603-2712 240.7 -27.2 0.778313 46.2 110667
J1607-0032 241.8 -0.54 0.421816 10.68 77075
J1612-2408 243.1 -24.1 0.923833 49.0 107185
J1615-2940 243.9 -29.6 2.477567 44.79 113806
J1623-0908 245.8 -9.14 1.276445 68.18 87822
J1623-2631 245.9 -26.5 0.011075 62.86 109714
J1629+43 247.2 43.98 0.181172 7.3 23222
J1641-2347 250.3 -23.7 1.091008 27.7 106554
J1645-0317 251.2 -3.29 0.387689 35.75 80337
J1647+66 252.0 66.06 1.599819 23.0 06532
J1649+2533 252.4 25.55 1.015257 34.46 43174
J1649+80 252.5 80.75 0.002021 31.09 00987
J1652-2404 253.2 -24.0 1.703739 68.41 107109
J1652+2651 253.0 26.86 0.915803 40.8 41810
J1706+59 256.7 59.16 1.476687 31.0 10980
J1720-0212 260.2 -2.2 0.477715 66.98 79185
J1720-2933 260.1 -29.5 0.620448 42.64 113387
J1722-3712 260.7 -37.2 0.236173 99.49 121982
J1728-0007 262.1 -0.12 0.386003 41.09 76080
J1730-2304 262.5 -23.0 0.008122 9.616 105957
J1733-2228 263.3 -22.4 0.871682 41.14 105203
J1734-0212 263.6 -2.21 0.839394 65.05 78753
J1735-0724 263.7 -7.41 0.419334 73.51 85518
J1741+2758 265.4 27.96 1.360737 29.14 40226
J1743-0339 265.7 -3.65 0.444645 30.26 80439
J1744-2335 266.2 -23.5 1.683506 96.66 106135
J1745-3040 266.4 -30.6 0.367432 88.37 115107
J1752-2806 268.2 -28.1 0.562557 50.37 111625
J1754+5201 268.5 52.02 2.391396 35.0 16072
J1758+3030 269.6 30.5 0.947255 35.06 37443
J1759-2922 269.9 -29.3 0.5744 79.42 113078
J1800+50 270.2 50.46 0.578364 23.0 17381
J1813+4013 273.3 40.22 0.931089 41.55 26908
J1816+4510 274.1 45.17 0.003193 38.88 22350
J1817-3618 274.2 -36.3 0.387016 94.3 120864
J1820-0427 275.2 -4.46 0.598075 84.43 82104
J1823-3021B 275.9 -30.3 0.378596 87.01 114188
J1823-3106 275.9 -31.1 0.284054 50.24 115175
J1824-0127 276.2 -1.46 2.499468 58.0 77779
J1825+0004 276.3 0.072 0.778949 56.61 76182
J1834-0010 278.5 -0.18 0.520954 88.65 76504
J1834-0426 278.6 -4.43 0.290108 79.3 81672
J1840+5640 280.1 56.68 1.652861 26.77 12514
J1851-0053 282.7 -0.88 1.409065 24.0 76915
J1852-2610 283.2 -26.1 0.336337 56.81 109376
J1900-2600 285.1 -26.0 0.612209 37.99 109465
J1900+30 285.0 30.88 0.602227 71.83 37024
J1907+4002 286.8 40.03 1.235757 30.96 27154
J1912+2104 288.1 21.07 2.232969 88.59 48525
J1913-0440 288.4 -4.67 0.825935 89.38 81973
J1913+3732 288.3 37.53 0.851078 72.32 29827
J1919+0021 289.9 0.361 1.27226 90.31 75674
J1920+2650 290.1 26.84 0.785521 27.7 41849
J1921+2153 290.4 21.88 1.337302 12.44 47627
J1921+42 290.4 42.41 0.595201 53.0 24371
J1935+52 293.7 52.2 0.568387 71.0 15954
J1937+2544 294.2 25.73 0.20098 53.22 43247
J1940-2403 295.1 -24.0 1.855276 63.3 106949
J1941-2602 295.2 -26.0 0.402857 50.03 109156
J1941+43 295.5 43.38 0.840887 79.0 23795
J1945-0040 296.3 -0.68 1.045632 59.71 76784
J1946-2913 296.7 -29.2 0.959447 44.3 112816
J1949-2524 297.3 -25.4 0.957616 23.07 108868
J1952+3252 298.2 32.87 0.039531 45.0 34686
J1954+2923 298.5 29.38 0.426676 7.932 38490
J1955+5059 298.8 50.99 0.518937 31.98 16975
J1959+2048 299.9 20.8 0.001607 29.11 48915
J2001+42 300.5 42.71 0.719161 55.0 24439
J2005-0020 301.4 -0.33 2.279661 35.93 76441
J2006-0807 301.5 -8.11 0.580871 32.39 86777
J2013-0649 303.3 -6.81 0.580187 63.36 84892
J2018+2839 304.5 28.66 0.557953 14.19 39977
J2022+2854 305.6 28.9 0.343402 24.63 39223
J2022+5154 305.7 51.91 0.529196 22.54 16344
J2023+5037 305.9 50.62 0.372619 32.98 17331
J2027+74 307.0 74.78 0.515229 11.0 02670
J2030+2228 307.6 22.47 0.630512 71.86 46687
J2033+0042 308.3 0.706 5.013398 37.84 74590
J2037+1942 309.3 19.71 2.074377 36.89 49970
J2037+3621 309.3 36.35 0.618715 93.56 31039
J2038-3816 309.7 -38.2 1.577286 33.96 123021
J2043+2740 310.9 27.68 0.09613 21.02 40477
J2043+7045 310.7 70.75 0.588 57.0 04301
J2046-0421 311.5 -4.35 1.546938 35.79 81910
J2048-1616 312.1 -16.2 1.961572 11.45 97037
J2051-0827 312.7 -8.46 0.004508 20.72 87544
J2055+2209 313.9 22.15 0.815181 36.34 47187
J2055+3630 313.8 36.5 0.221507 97.41 31073
J2108-3429 317.1 -34.4 1.423101 30.22 119196
J2111+2106 317.8 21.1 3.953852 59.29 48585
J2113+2754 318.2 27.9 1.202851 25.11 40456
J2113+67 318.5 67.03 0.552169 55.1 06021
J2136-1606 324.0 -16.1 1.227235 18.48 97050
J2139+2242 324.8 22.71 1.083513 44.15 46734
J2144-3933 326.0 -39.5 8.509827 3.35 124199
J2145-0750 326.4 -7.83 0.016052 8.997 86426
J2155-3118 328.8 -31.3 1.030002 14.85 115782
J2157+4017 329.2 40.29 1.525265 71.12 26850
J2207+40 331.7 40.95 0.636985 12.0 26185
J2212+2933 333.0 29.55 1.004592 74.52 38584
J2219+4754 334.9 47.91 0.538468 43.49 19365
J2222-0137 335.5 -1.62 0.032817 3.277 77899
J2222+2923 335.7 29.39 0.281399 49.41 38529
J2225+6535 336.4 65.59 0.682542 36.44 06911
J2229+2643 337.4 26.73 0.002977 22.72 41579
J2234+2114 338.7 21.23 1.358745 35.08 48433
J2242+6950 340.7 69.84 1.6645 40.86 04738
J2248-0101 342.1 -1.03 0.477233 29.05 77035
J2305+3100 346.4 31.0 1.575886 49.58 36856
J2308+5547 347.0 55.79 0.475067 46.53 12990
J2313+4253 348.2 42.88 0.349433 17.27 24402
J2317+2149 349.4 21.83 1.444653 20.86 47747
J2321+6024 350.4 60.4 2.256488 94.59 09974
J2325-0530 351.3 -5.51 0.868735 14.96 83258
J2330-2005 352.6 -20.0 1.643622 8.456 102045
J2337+6151 354.2 61.85 0.495369 58.41 08788
J2346-0609 356.7 -6.16 1.181463 22.5 84135
J2354+6155 358.5 61.92 0.944783 94.66 08966
