# Using S/N > 6 for detection threshold on zuul
# Using beams within 0.5 deg of pulsars from psrcat_v158_north.txt
# Flux adjusted for offset from beam center
# Expected S/N estimated from published flux values
# Flux estimated from measured S/N, uncertainty estimated from dependencies
# File generated 2018-07-18 18:10:53 (ET)
#   PSRJ  	   RA 		     Dec 	 P0 			P1 	      DM 	 Distance  	  MJD   	 S/N exp. 	  S/N meas. 	     Est. Flux	   Flux Error	Status 
#		   (deg)   	    (deg) 	 (s) 			(s/s) 	      (p/cc) 	 (deg)		  (day)					             (mJy)  	   (mJy)  
  J0103+54	 15.90417 	 54.03333 	 0.3543 	        * 	   55.605 	 0.3592181 	  55353  	       *	   8.891	     2.499    	   0.370    	Detected in Beam # 14647
J0106+4855	 16.60442 	 48.93106 	 0.0832 	 4.2792E-16 	    70.87 	 0.3383329 	  55531  	   0.780	   0.000	     0.000    	   0.000    	Not Detected in # 18451
J0106+4855	 16.60442 	 48.93106 	 0.0832 	 4.2792E-16 	    70.87 	 0.1779698 	  55531  	   1.440	   0.000	     0.000    	   0.000    	Not Detected in # 18828
J0108-1431	 17.03478 	 -14.53061 	 0.8076 	 7.704E-17 	     2.38 	 0.4594474 	  57815  	  31.573	   4.565	     1.633    	   0.270    	Not Detected in # 94696
J0108-1431	 17.03478 	 -14.53061 	 0.8076 	 7.704E-17 	     2.38 	 0.0567575 	  57851  	 210.394	   0.000	     0.000    	   0.000    	Not Detected in # 95073
J0108+6608	 17.09436 	 66.14277 	 1.2837 	 1.3051E-14 	  30.5482 	 0.4975822 	  55179  	  17.666	   6.554	     4.473    	   0.451    	Detected in Beam # 06285
J0108+6608	 17.09436 	 66.14277 	 1.2837 	 1.3051E-14 	  30.5482 	 0.4768818 	  55188  	  16.574	  26.289	    19.123    	   1.336    	Detected in Beam # 06374
J0108+6608	 17.09436 	 66.14277 	 1.2837 	 1.3051E-14 	  30.5482 	 0.0539740 	  55180  	  74.904	  99.744	    16.054    	   5.223    	Detected in Beam # 06518
J0108+6905	 17.12293 	 69.09795 	 1.0711 	 4.809E-17 	  61.0617 	 0.1850426 	  55169  	  18.744	  54.901	    13.240    	   3.116    	Detected in Beam # 04921
J0108+6905	 17.12293 	 69.09795 	 1.0711 	 4.809E-17 	  61.0617 	 0.4910071 	  55169  	   5.072	   7.563	     6.742    	   0.477    	Detected in Beam # 05065
J0108+6905	 17.12293 	 69.09795 	 1.0711 	 4.809E-17 	  61.0617 	 0.3651865 	  55169  	   8.995	  16.858	     8.472    	   0.962    	Detected in Beam # 05154
  J0112+66	     18.0 	 66.36667 	 4.3012 	        * 	      112 	 0.4935288 	  55176  	  37.561	   0.000	     0.000    	   0.000    	Not Detected in # 06141
  J0112+66	     18.0 	 66.36667 	 4.3012 	        * 	      112 	 0.0560358 	  55188  	 156.031	  10.366	     1.134    	   0.507    	Detected in Beam # 06374
  J0112+66	     18.0 	 66.36667 	 4.3012 	        * 	      112 	 0.4773766 	  55180  	  42.188	   0.000	     0.000    	   0.000    	Not Detected in # 06518
J0117+5914	 19.41109 	   59.244 	 0.1014 	 5.849955E-15 	 49.42068 	 0.4166050 	  55250  	  22.717	  21.737	    10.086    	   1.043    	Detected in Beam # 10411
J0117+5914	 19.41109 	   59.244 	 0.1014 	 5.849955E-15 	 49.42068 	 0.3018025 	  55253  	  31.718	  45.510	    15.125    	   2.421    	Detected in Beam # 10644
J0117+5914	 19.41109 	   59.244 	 0.1014 	 5.849955E-15 	 49.42068 	 0.3134694 	  55253  	  24.847	  30.827	    13.078    	   1.873    	Detected in Beam # 10788
J0117+5914	 19.41109 	   59.244 	 0.1014 	 5.849955E-15 	 49.42068 	 0.4918591 	  55257  	  13.691	  11.325	     8.720    	   0.613    	Detected in Beam # 11021
  J0125+62	     21.5 	 62.58333 	 1.7082 	        * 	      118 	 0.0356294 	  55200  	  37.075	   8.558	     0.985    	   0.446    	Detected in Beam # 08526
  J0125+62	     21.5 	 62.58333 	 1.7082 	        * 	      118 	 0.4633380 	  55200  	  10.903	   0.000	     0.000    	   0.000    	Not Detected in # 08759
J0134-2937	 23.57784 	 -29.6214 	 0.1370 	 7.83699E-17 	   21.806 	 0.4924079 	  56898  	  20.076	  16.348	     8.437    	   0.606    	Detected in Beam #113284
J0134-2937	 23.57784 	 -29.6214 	 0.1370 	 7.83699E-17 	   21.806 	 0.1770997 	  56898  	  65.608	  61.301	     9.681    	   2.397    	Detected in Beam #113517
