num name RA Dec P0 dP0 P1 dP1 DM dDM W50 dW50 S400 dS400 S1400 dS1400 SPINDX dSPINDX temp
73 J0139+33 24.791667 33.166667 * 0.0 * 0.0 21.00 2.0 * 0.0 * 0.0 * 0.0 * 0.0 35.90513395204427
74 J0139+5621 24.910667 56.360222 1.775344 1e-10 7.91e-14 3e-18 101.84 0.032 42.000 0.0 0.70 0.3 0.02 0.01 -2.60 1.7 60.48748707273847
75 J0139+5814 24.83225 58.242172 0.272451 1.5e-11 1.07e-14 1.2e-19 73.81 0.00076 5.200 0.0 28.00 2.0 4.60 0.4 -1.57 0.06 74.04502727869709
76 J0141+6009 25.416409 60.158973 1.222949 1.8e-12 3.91e-16 1.4e-20 34.93 0.004 34.900 0.0 49.00 5.0 4.50 0.9 -1.53 0.1 84.62288831851096
77 J0141+63 25.25 63.133333 0.046686 4.9e-07 * 0.0 272.60 0.4 * 0.0 1.30 0.0 * 0.0 * 0.0 95.05176540001759
78 J0146+31 26.5625 31.066667 0.938100 0.0 * 0.0 25.00 1.0 20.000 0.0 * 0.0 * 0.0 * 0.0 38.13989332665283
79 J0146+6145 26.593417 61.750778 8.688994 4e-07 1.99e-12 5e-14 * 0.0 * 0.0 * 0.0 * 0.0 * 0.0 95.20074935832483
80 J0147+5922 26.936024 59.367581 0.196321 1.6e-13 2.57e-16 8e-21 40.11 0.003 7.000 0.0 6.60 0.5 2.10 0.3 -1.23 0.08 79.85540165267936
81 J0151-0635 27.844588 -6.584111 1.464665 7e-12 4.43e-16 5e-20 25.66 0.03 117.200 0.0 38.00 15.0 1.60 0.3 -1.39 0.27 30.839679369598183
82 J0152+0948 28.098875 9.802778 2.746647 1e-10 1.70e-15 4e-18 22.88 0.012 11.000 0.0 0.91 0.03 * 0.0 -0.60 0.7 36.79903770188769
83 J0152-1637 28.045223 -16.631386 0.832742 1.3e-12 1.30e-15 6e-21 11.93 4e-05 14.600 0.0 20.00 4.0 2.10 0.4 -1.83 0.12 28.75390395329686
84 J0156+04 29.004167 4.033333 * 0.0 * 0.0 27.50 0.0 3.800 0.0 * 0.0 * 0.0 * 0.0 37.09700561850216
85 J0156+3949 29.230192 39.824592 1.811561 1e-10 1.52e-16 1e-18 59.83 0.011 * 0.0 4.00 1.0 * 0.0 -1.40 0.5 47.37689874170156
86 J0157+6212 29.458061 62.207195 2.351745 7e-11 1.89e-13 5e-19 30.21 0.03 33.400 0.0 6.50 0.8 1.90 0.3 -1.20 0.2 95.20074935832483
87 J0158+21 29.620833 21.133333 0.505300 0.0 * 0.0 20.00 0.0 * 0.0 * 0.0 * 0.0 * 0.0 40.076684784646915
88 J0201+7005 30.422267 70.088364 1.349184 1e-11 5.51e-15 1.5e-18 21.03 0.002 * 0.0 * 0.0 * 0.0 * 0.0 74.64096311192604
89 J0205+6449 31.40801 64.828148 0.065716 9e-14 1.94e-13 4e-21 140.70 0.3 2.300 0.3 * 0.0 0.04 0.0 -2.10 1.8 83.5800006103603
92 J0212+5222 33.2175 52.379167 0.376386 1e-09 6.60e-15 3e-16 38.24 0.00045 * 0.0 4.10 0.0 0.90 0.4 -1.20 0.4 55.12406457367791
93 J0214+5222 33.730297 52.378042 0.024575 2.2e-13 2.99e-19 1e-20 22.04 0.0034 2.500 0.0 0.90 0.0 * 0.0 * 0.0 56.31593624013581
94 J0215+6218 33.985945 62.30927 0.548880 3e-12 6.62e-16 3e-20 84.00 0.05 * 0.0 14.50 0.0 3.70 0.7 * 0.0 111.14203289719924
95 J0218+4232 34.526494 42.53816 0.002323 8e-17 7.74e-20 7e-25 61.25 0.005 * 0.0 35.00 5.0 0.90 0.2 -2.76 0.11 51.697433532611456
96 J0220+36 35.208333 36.366667 1.029700 0.0 * 0.0 40.00 10.0 220.000 0.0 * 0.0 * 0.0 * 0.0 45.738075200321944
97 J0229+20 37.2625 20.966667 0.806900 0.0 * 0.0 27.00 0.0 * 0.0 * 0.0 * 0.0 * 0.0 44.546203533864045
98 J0231+7026 37.808322 70.442745 1.466820 7e-12 3.11e-15 7e-20 46.68 0.0016 34.000 0.0 2.40 0.2 0.30 0.1 -1.50 0.2 70.9163641542451
99 J0241+16 40.441667 16.066667 1.545400 0.0 * 0.0 16.00 0.0 * 0.0 * 0.0 * 0.0 * 0.0 40.225668742954156
