# results from master table, 12/09/18
# spindxflag: 0 means catalog spindx available (or sne='*'), 1 means spindx calculated using s400 and s1400, 2 means spindx=-1.7
name rajd decjd p0 dm dms dmserr dist mjd bw spindx spindxflag temp w10 w50 on-pulse sne snm dsnm DOF_corr s350m ds s350e s400 s1400 numdet bm surv spindx_m dspindx_m p1 assoc bsurf prof_len nosearch
J0102+6537 15.63 65.62 1.679164 65.85 65.85 0.4338042691009881 0.237 55188 73.9 -1.6 0 135.5 66.806 16.863 5.0 65.55684963177525 24.1684558915655 1.2883358210580826 0.9598757778955798 2.661810925907282 0.3604279399373007 10.5246107098 8.50 1.20 4 6662 catalog -0.874213 0.495906 5.95e-15 * 3.20e+12 200 0
J0103+54 15.9 54.03 0.354304 55.6 55.49 0.09153280308508073 0.359 55353 75.1 * 0 104.42 13.252 6.389 7.0 * 11.504668391852944 1.830469028059647 0.9579426161642475 1.8355927802776861 0.39902303773079834 * * * 1 14647 catalog * * * * * 200 0
J0104+64 16.16 64.73 1.386 43.0 44.65 0.3580667028199565 0.008 55188 73.9 * 0 113.15 82.193 45.618 12.0 * 6.000198582836408 1.5545518045094506 0.9598243452075453 0.6918275781685369 0.1961546206805924 * * * 1 7272 gbncc * * * * * 200 0
J0108+6608 17.09 66.14 1.28366 30.55 30.46 0.3316276361773921 0.053 55180 73.9 -1.4 0 135.7 142.092 73.351 22.0 50.70905065788067 71.57324827924741 0.9324284507764581 0.9597982529851107 11.671920628305777 1.3396777248576486 12.0555971114 10.00 0.90 3 6518 catalog -1.645083 0.123689 1.31e-14 * 4.14e+12 200 0
J0108+6905 17.12 69.09 1.071118 61.06 61.17 0.27671839147987465 0.185 55169 74.4 -1.5 0 127.60000000000001 65.066 11.778 4.0 39.565262231156204 17.557175048440488 1.8324586745588713 0.959720274454332 1.3563291657064727 0.23135641290965672 4.52053300606 3.70 0.40 3 4921 catalog -1.325449 0.682117 4.81e-17 * 2.30e+11 200 0
J0110-22 17.56 -22.1 1.262 20.0 20.8 0.32603187515063864 0.012 56593 74.2 * 0 58.92 64.058 42.588 10.0 * 22.01938927674752 1.2385891949398427 0.9597919581814489 1.1656182989656692 0.23419993943086215 * * * 1 104655 gbncc * * * * * 200 0
J0112+66 18.15 66.36 4.301 112.0 111.6 1.1111434984333572 0.007 55188 73.9 * 0 109.57000000000001 86.632 32.739 4.0 * 17.536846864683692 0.5232092582092093 0.9599772723224776 1.1062012433799335 0.14960126934962958 * * * 1 6374 catalog * * * * * 200 0
J0117+5914 19.41 59.24 0.101439 49.42 49.4 0.026206297451193055 0.301 55253 75.9 -2.4 0 127.9 7.527 3.714 15.0 30.719464118600534 40.80021860422625 1.3876991522409268 0.9408016333121084 9.471636556797643 1.1747926238941209 10.541292453 7.60 0.30 4 10644 catalog -2.429443 0.031938 5.85e-15 XRS:[pb15] 7.80e+11 200 0
J0121+14 20.375 14.28277777777778 1.388 17.8 17.8 1.78 0.29054901255385923 58347 47 * 0 59.20310186865874 44.142 21.723 6 * 13.93978 10.62190 0.96000 1.41191 1.11372  * * * 1 57245 lofar * * * * * 200 1
J0125-23 21.29 -23.6 0.00368 9.6 9.59 0.0038028440588093507 0.0 56718 68.6 * 0 55.94 1.09 0.667 15.0 * 37.163566703237734 1.7737504017004322 0.6183140268415792 5.552551418082488 1.1571701971902137 * * * 1 106430 gbncc * * * * * 50 0
