# results from master table, 12/09/18
# spindxflag: 0 means catalog spindx available (or sne='*'), 1 means spindx calculated using s400 and s1400, 2 means spindx=-1.7
name rajd decjd p0 dm dms dmserr dist mjd bw spindx spindxflag temp w10 w50 on-pulse sne snm dsnm DOF_corr s350m ds s350e s400 s1400 numdet bm surv spindx_m dspindx_m p1 assoc bsurf prof_len nosearch
J0921+6254 140.3 62.9 1.567994 13.15 13.09 0.40508401271390687 0.163 55202 76.2 -1.5 0 84.75 48.746 19.483 7.0 64.67630959569097 61.48426365356315 1.6074974694833615 0.9598594228659284 3.424021496464937 0.6408829778081158 6.10882838657 5.00 0.50 3 8389 catalog -1.550161 0.491899 3.61e-15 * 2.41e+12 200 0
J0922+0638 140.5 6.639 0.430627 27.3 27.29 0.11125049786093033 0.22 58002 69.3 -1.8 0 68.81 24.927 11.385 12.0 527.3292471990045 248.86713443093132 1.1635405380063555 0.9585522640495245 16.5454615542004 4.0365250906967365 66.1285268793 52.00 10.00 3 66923 catalog -1.721089 0.339527 1.37e-14 XRS:[pb15] 2.46e+12 200 0
J0928+06 142.1 6.233 2.0604 50.0 49.77 0.5322948300795372 0.19 58057 58.280469 * 0 71.04 50.246 23.996 5.0 * 21.225580674310013 4.514300039863836 0.9599141490863541 0.9365061528973575 0.3017996935091469 * * * 1 67999 catalog * * * * * 200 0
J0930-2301 142.5 -23.0 1.807069 78.3 78.49 0.4668479354965051 0.085 56663 74.3 * 0 75.51 60.22 12.734 8.0 * 27.906954054599513 0.983841855087861 0.9598911996069383 1.2330787879145266 0.26768128361307264 * * * 1 105628 catalog * * 3.36e-15 * 2.49e+12 200 0
J0931-1902 142.8 -19.0 0.004638 41.49 41.5 0.004792823571945047 0.321 56993 58.900000000000006 * 2 79.24000000000001 1.431 0.448 15.0 7.287232257149552 4.874317809616159 0.7730001168093605 0.6935254456131601 1.6955071342719206 0.44150269957325294 4.4335465802 * 0.42 2 100460 catalog * * 3.63e-21 * 1.31e+08 50 0
J0932-3217 143.1 -32.2 1.931627 102.1 102.1 0.49902691989033493 0.197 56785 72.9 -2.7 0 103.52 54.853 22.53 5.0 123.30517260282541 31.338722048617417 1.208113491651577 0.9599035377809514 2.164790815380144 0.3445368388203837 13.389539197 * 0.30 3 116807 catalog * * 2.50e-16 * 7.03e+11 200 0
J0943+41 145.7 41.15 2.229489 21.0 21.76 0.5759781927874187 0.067 55635 72.695117 * 0 48.04 88.582 17.572 8.0 * 30.68500227404094 1.3405432350010678 0.959925545696399 1.2227011782438748 0.2901888233165339 * * * 2 25990 catalog * * * * * 200 0
J0944-1354 146.1 -13.9 0.570264 12.5 12.43 0.1473250723065799 0.351 57095 57.5 -3.0 0 77.0 13.531 7.241 4.0 256.00328969338494 85.16500102477158 0.5711790776992 0.9591274935372991 7.279467682894919 1.6222246331713128 38.8104956268 26.00 0.60 4 93873 catalog * * 4.53e-17 * 1.63e+11 200 0
J0947+2740 146.8 27.67 0.851014 29.09 28.9 0.21985553898529767 0.295 56180 74.6 -2.2 0 70.89 48.677 32.288 11.0 8.474897482865805 46.228273924845176 2.591651026469767 0.95957629731522 3.947707270472742 0.9438510544144872 1.34147407293 1.00 0.13 3 40363 catalog -1.409791 0.851772 4.30e-16 * 6.12e+11 200 0
J0952-3839 148.0 -38.6 1.373815 167.0 163.5 0.3549187643106772 0.165 56973 66.8 -2.5 0 87.58 85.607 36.322 12.0 85.40433764266973 70.828734468911 1.3998211114075363 0.9598215222104848 5.8851403197450125 1.0625223810879176 11.8685808653 8.50 4.00 2 123606 catalog * * 5.80e-16 * 9.03e+11 200 0
J1012-2337 153.1 -23.6 2.517945 22.51 22.66 0.6504994689985538 0.179 56666 74.6 * 2 75.66 79.142 45.698 7.0 57.97214476549102 214.39085115754472 1.4887119461767888 0.959940232037261 10.632012166482964 2.2794316225266695 5.14481978351 4.10 * 2 106539 catalog * * 8.81e-16 * 1.51e+12 200 0
J1012+5307 153.1 53.11 0.005256 9.02 9.022 0.005431453362255965 0.242 55351 75.6 -1.7 0 75.51 1.734 0.651 17.0 93.28001393232476 39.86756629904185 2.925822627964391 0.7306177696921277 8.981773549116088 2.0194167285490234 37.6450228062 30.00 3.20 3 15400 catalog -1.011536 0.114786 1.71e-20 OPT:[cgk98] 3.04e+08 50 0
J1018-1523 154.3 -15.3 0.0831 17.0 17.17 0.02146850144613159 0.004 57098 58.8 * 0 52.81 5.187 2.187 12.0 * 8.413666161768901 2.236915094240839 0.9328071873487441 0.49327065926364144 0.16960456227279413 * * * 1 96059 gbncc * * * * * 200 0
J1018-1642 154.6 -16.7 1.804695 48.82 48.82 0.46623462355386835 0.277 57127 77.7 -2.0 0 75.81 57.325 28.676 6.0 59.45914888055383 96.05590595178487 0.3026039326416434 0.9598909410322332 6.019365599263574 1.2883765572421886 6.6612244898 5.10 0.70 4 97656 catalog -2.040498 0.532210 1.74e-15 * 1.79e+12 200 0
J1024-0719 156.1 -7.32 0.005162 6.48 6.48 0.005334315497710291 0.236 57444 55.599999999999994 -1.9 0 77.75 1.632 0.623 16.0 13.076076183316044 22.56261117740352 1.999237435838473 0.725452323197385 5.745058988312315 1.3352433222886546 5.92846869503 4.60 0.30 3 85812 catalog -1.629339 0.206636 1.86e-20 OPT:2MASS_10243869-0719190[kkn+16] 3.13e+08 50 0
J1034-3224 158.5 -32.4 1.15059 50.75 50.62 0.2972496158712942 0.036 56785 73.4 -1.6 0 78.19 176.759 17.742 37.0 275.60288920782097 141.22096109048627 1.5560458073981993 0.9597541799757868 14.778626090511949 2.9965742490641394 50.7657693063 41.00 8.00 2 116765 catalog -1.198102 0.493918 2.30e-16 * 5.21e+11 200 0
J1038+0032 159.6 0.545 0.028852 26.59 26.34 0.011646532861834175 0.123 57754 50.7 * 2 74.17 5.482 2.496 25.0 8.765538848655206 18.695454631834743 3.287679460225947 0.8839480002876143 2.490230366274449 0.7189789208395371 2.11121265724 * 0.20 2 75421 catalog * * 6.70e-20 * 1.41e+09 128 0
J1041-1942 160.4 -19.7 1.386368 33.78 33.92 0.35816177392142684 0.116 56998 71.1 -2.0 0 78.04 80.364 41.756 14.0 310.7107527093674 126.76017101626466 0.785071652158293 0.9598244293837108 8.468683215299308 1.7322971145071564 36.5714285714 28.00 2.30 2 101727 catalog 0.209068 0.405306 9.45e-16 * 1.16e+12 200 0
J1045-0436 161.3 -4.73 0.024 4.8 4.833 0.009687951916124368 0.001 57156 57.3 * 0 51.019999999999996 4.022 1.22 21.0 * 29.14104452676667 2.045649379438699 0.8582938579531276 2.926160452383943 0.6897416128110888 * * * 1 82275 gbncc * * * * * 128 0
J1046+0304 161.6 3.068 0.326271 25.3 24.98 0.08429060692335501 0.09 57997 69.3 * 2 74.17 13.6 3.411 8.0 39.08425106792812 5.580980643319042 0.7177466863322248 0.9576135280597794 0.25008180411042386 0.0639343681271587 3.16681898585 * 0.30 1 71939 catalog * * 1.24e-16 * 2.04e+11 200 0
J1047-3032 161.7 -30.5 0.330328 52.54 52.28 0.08533871414798745 0.116 56777 73.8 -1.5 1 78.34 26.227 13.961 16.0 79.28999748271822 80.53287303004771 0.453991156585008 0.9576660201838693 5.708491416486149 1.1557140462972915 9.883721655363262 8.00 1.10 3 114736 catalog * * 6.10e-17 * 1.44e+11 200 0
J1101+65 165.3 65.11 3.631 19.0 19.29 0.9380520908652685 0.007 55227 76.1 * 0 55.94 69.71 37.013 3.0 * 23.311332790824963 1.3666555947838397 0.959969141919631 0.623570519055786 0.13969391332558115 * * * 1 7051 catalog * * * * * 200 0
J1110+58 167.7 58.86 0.793348 26.0 26.25 0.2049577940467582 0.047 55285 75.8 * 2 77.9 39.588 17.386 10.0 22.933279170996414 13.343581517709246 0.666791616256329 0.9595190952350362 0.6623721231597073 0.13931709642054202 2.00773454966 1.60 * 1 10944 catalog * * * * * 200 0
J1115+5030 168.9 50.5 1.65644 9.19 9.163 0.4279336285852012 0.26 55367 75.5 -1.8 0 73.28 44.522 22.181 5.0 163.23391351804952 141.56074421490945 0.5587694645056968 0.9598726837752529 7.271248424487521 1.6452835865966549 15.2604292798 12.00 3.00 2 17188 catalog -1.757415 0.125623 2.49e-15 * 2.06e+12 200 0
J1116-2444 169.0 -24.7 0.867949 29.8 29.61 0.2242306180706194 0.275 56719 72.0 * 0 73.13 29.175 8.57 6.0 * 44.67822191125499 2.3986204458286773 0.9595911012647307 2.7304282566122158 0.6344699511378177 * * * 4 107717 catalog * * 9.85e-16 * 9.36e+11 200 0
J1120-24 170.0 -23.6 0.49702 11.0 9.814 0.1284028229693902 0.094 56663 74.4 * 0 49.980000000000004 13.032 6.58 5.0 * 13.716397213355945 1.1794196461903397 0.9588820184368952 0.45637461068609314 0.11110293072812367 * * * 2 106586 gbncc * * * * * 200 0
J1122-3546 170.7 -35.7 0.007837 39.0 39.49 0.008098611111111109 0.006 56907 68.8 * 0 60.56 1.935 0.994 12.0 * 12.5430541251524 0.33937958380420413 0.826747494468919 1.7461279802584815 0.33420597773288246 * * * 1 120349 gbncc * * * * * 50 0
J1125+7819 171.4 78.33 0.004202 11.73 11.22 0.004342269221499156 0.203 55168 75.2 * 2 78.64 0.965 0.427 11.0 78.25405766241165 52.24836447482085 0.4952288429044314 0.6623263183070398 8.161789643878558 1.6532910053417813 21.4576629995 17.10 * 2 1540 catalog * * 6.96e-21 * 1.73e+08 50 0
J1126-27 171.5 -27.6 0.358161 26.86 27.09 0.09252924123282719 0.008 56772 73.8 * 0 76.56 19.791 8.522 12.0 * 5.472071165356519 1.9718552151844697 0.9579823382856143 0.290719771276806 0.12112637627896751 * * * 1 111233 catalog * * * * * 200 0
J1126-38 171.5 -38.6 0.88755 46.0 46.0 0.22929444595083148 0.375 56990 41.980469 * 0 83.71000000000001 57.777 31.48 13.0 * 45.796848767275236 0.4463149438372265 0.9596072553160837 10.87732374564935 2.2924727662519655 * * * 3 123399 catalog * * * * * 200 0
J1134+24 173.0 24.93 0.501 23.0 24.19 0.1294310375994215 0.462 56457 74.3 * 0 54.0 24.598 13.673 10.0 * 7.952355204723071 3.1053589983947116 0.9588979810725121 1.873727264825386 0.8288907475071668 * * * 2 43439 gbt350 * * * * * 200 0
J1141-3107 175.3 -31.1 0.538432 30.77 30.82 0.13910142202940468 0.311 56780 73.3 -2.0 1 78.19 29.087 18.353 10.0 72.73036006061777 44.92472214123608 1.6514883009721033 0.959032259360161 4.593189245793264 0.9522391809661334 13.088714194173988 10.00 0.80 3 115592 catalog * * 1.96e-15 * 1.04e+12 200 0
J1141-3322 175.4 -33.3 0.291468 46.45 46.38 0.07529941250903832 0.086 56844 73.0 -1.2 0 83.11 9.221 4.385 6.0 123.85486534453617 60.0074039946169 1.4641362461498166 0.9570766146073529 2.6594739286243927 0.5147772441146743 9.39031851053 8.00 1.60 2 117799 catalog * * 4.63e-16 * 3.72e+11 200 0
J1154-19 178.5 -19.7 0.0111 10.7 10.69 0.0044806777612075195 0.011 56999 67.6 * 0 56.24 1.539 0.501 19.0 * 15.396150224914173 0.8081515840021181 0.6724065069121213 1.487445006068106 0.30968834206610796 * * * 1 101630 gbncc * * * * * 128 0
J1221-0633 185.3 -6.54 0.00193 16.0 16.43 0.0019944263677994694 0.008 57379 64.6 * 0 61.900000000000006 0.282 0.179 7.0 * 9.325249171695427 0.42767066575114904 0.3985486759127725 0.9843881935166073 0.19277215118770452 * * * 1 84652 gbncc * * * * * 50 0
J1231-1411 187.7 -14.1 0.003684 8.09 8.072 0.003806977584960231 0.243 57096 60.7 * 0 81.47 0.774 0.443 10.0 * 9.134198902794514 0.38616545657938484 0.618682210725283 1.7976892843522738 0.3670675076962291 * * * 1 94323 catalog -2.396236 0.328459 2.28e-20 GRS:2FGL_J1231.2-1411[naa+12] 2.93e+08 50 0
J1234-3630 188.5 -36.5 0.569242 58.8 59.29 0.14706104332369246 0.219 56929 72.2 * 0 87.73 16.761 9.035 6.0 * 45.91155978708844 0.8398700746673962 0.9591246660631806 2.985410085859495 0.5420133619511506 * * * 3 121239 catalog * * 8.66e-16 * 7.10e+11 200 0
J1235-02 188.9 -2.15 3.597565 18.82 18.73 0.9294143129368522 0.191 57545 61.599999999999994 * 0 66.37 135.113 96.139 7.0 * 51.44790304660262 1.045165024147201 0.9599686220648902 3.6975726688193653 0.6720693477137617 * * * 1 79052 lofar * * * * * 200 0
J1239+2453 189.9 24.89 1.382449 9.25 9.447 0.3571493183598457 0.438 56458 74.6 -1.8 0 76.7 67.943 36.943 10.0 395.1480948984123 384.9517502437829 1.305624222155732 0.9598235297214809 76.68761642837622 16.018254671831453 139.887268399 110.00 23.20 4 43486 catalog -0.969815 0.029153 9.60e-16 * 1.17e+12 200 0
J1239+32 189.9 32.53 0.0047 17.0 16.85 0.0048568932272836825 0.021 56054 74.7 * 0 51.47 1.703 0.358 18.0 * 16.17631814060418 18.526981084165975 0.6976003093399387 2.4386348815860837 2.8425881232041394 * * * 1 35124 gbncc * * * * * 50 0
J1257-1027 194.2 -10.4 0.617308 29.63 29.7 0.159478672571704 0.245 57062 59.7 -1.7 0 83.86 27.895 6.029 12.0 83.90353032517395 73.55264262438119 0.6526777708340454 0.9592437432859241 7.746509788056735 1.4930344977515853 15.0580091225 12.00 1.20 4 89655 catalog -1.320111 0.334878 3.63e-16 * 4.79e+11 200 0
J1300+1240 195.0 12.68 0.006219 10.17 10.15 0.006426599783080259 0.058 58356 51.5 -1.8 0 88.47 1.217 0.753 10.0 95.92313679866966 32.39526039577795 1.8713339230739534 0.7754634977533053 5.157501270853465 1.0199940029913994 25.4340487997 20.00 2.00 2 59257 catalog -2.775506 0.418937 1.14e-19 XRS:[pkgw07] 8.53e+08 50 0
J1308-23 197.12939999999998 -23.5181 0.00283136 22.0 22.357 0.0011429199807182454 0.00616624 56718 66.0 * 0 80.98866332790543 0.388 0.207 17.0 * 32.658337165132416 1.2003195795885429 0.959978 3.34086290305753 0.628068249353491 * * * 1 106324 gbncc * * * * * 128 0
J1311-1228 197.9 -12.4 0.447518 36.21 36.21 0.11561420974933719 0.287 57091 59.900000000000006 -1.8 0 84.6 13.003 6.883 6.0 34.2629924962778 117.32451819934704 0.7830337675270936 0.9586492526905351 10.262214828717072 1.9919626728355997 5.08680975995 4.00 0.50 4 92040 catalog -3.172393 0.329632 1.51e-16 * 2.63e+11 200 0
J1317-0157 199.1 -1.78 0.002908 29.4 29.39 0.003005073511689563 0.007 57542 58.0 * 0 61.6 0.5 0.289 8.0 * 14.54785343042106 2.654556659774624 0.5368835540940472 1.7441069704458652 0.4645063953196194 * * * 1 78366 gbncc * * * * * 50 0
J1320-3512 200.0 -35.2 0.458488 16.42 15.52 0.11844825861653409 0.044 56962 65.0 -0.3 1 102.78 60.518 24.066 26.0 34.820478217444325 13.067368279169044 0.49508399820013155 0.9587069472414704 1.73931007473919 0.2711621945534343 7.303559245659153 7.00 4.70 1 119799 catalog * * 1.90e-18 * 2.99e+10 200 0
J1320+67 200.0 67.5 1.02862 28.0 28.0 0.2657392293323692 0.093 55200 75.7 * 2 82.22 58.288 11.783 11.0 17.22613461646737 15.112017315718646 0.7565070841897421 0.9596990652129191 0.8964656435340479 0.1764676025736542 1.75676773095 1.40 * 1 5781 catalog * * * * * 200 0
J1321+8323 200.4 83.39 0.670037 13.32 13.37 0.17310096634731256 0.252 55166 75.1 -1.7 0 79.24000000000001 40.239 21.952 12.0 88.96986635314776 86.02918878768547 0.6727636804772544 0.9593477000963769 7.630956884923355 1.5236731783136284 13.8031750289 11.00 0.90 3 524 catalog -1.148913 0.293747 5.66e-16 * 6.23e+11 200 0
J1327-0755 201.9 -7.92 0.002678 27.91 27.9 0.0027673957580139786 0.251 57637 58.7 * 0 81.32 0.265 0.149 4.0 * 19.26226148627547 1.9061578884605164 0.5081916351869654 2.3348543121293246 0.5424683869408619 * * * 1 86673 catalog * * 1.77e-21 * 6.97e+07 50 0
J1327+34 201.9 34.52 0.0415 4.2 4.193 0.016752083521631718 0.007 56052 74.8 * 0 54.75 2.479 1.067 8.0 * 68.38023889506319 0.9607582052701888 0.9183643685136189 3.7738552537458676 0.7796947520073 * * * 2 32930 gbncc * * * * * 128 0
J1332-3032 203.2 -30.5 0.650434 15.1 14.81 0.1680366217763316 0.146 56845 73.6 -2.7 1 106.8 109.951 29.974 46.0 38.683541848629076 69.44466383601092 0.8835850167297599 0.959311801256449 14.040415133950326 2.0819465118556875 12.931781499119719 9.00 0.30 3 114576 catalog * * 5.60e-16 * 6.11e+11 200 0
J1335-3642 203.9 -36.7 0.399192 41.7 41.82 0.1031294107013738 0.204 56972 69.4 * 2 102.48 38.336 10.833 21.0 52.15038853627696 35.0367628962767 2.430269859785215 0.9583403858950089 5.344772326148375 0.8805174615347799 12.5483409354 10.00 * 2 121574 catalog * * * * * 200 0
J1336-2522 204.0 -25.3 0.478145 37.5 37.39 0.12352655383827425 0.093 56751 73.9 * 0 89.22 26.059 13.577 11.0 * 42.6134158643393 1.2255696660839546 0.9588011915401884 2.875449807283826 0.5043516759496615 * * * 2 108654 catalog * * 3.31e-16 * 4.02e+11 200 0
J1400-1431 210.1 -14.5 0.003084 4.93 4.932 0.003186948662328271 0.216 57855 60.099999999999994 * 2 85.49000000000001 0.481 0.219 7.0 6.003443977666456 32.24304306494266 0.8102379639405333 0.5573839773960941 5.033348676320471 0.9713477806429821 1.58340949293 * 0.15 4 95014 catalog -0.856828 0.506476 7.23e-21 OPT:[skm+17],XRS:[skm+17],GRS:3FGL_J1400 1.51e+08 50 0
J1411+2551 212.8 25.85 0.062453 12.37 12.34 0.016134444293805734 0.1 56459 75.0 * 0 81.32 4.016 2.747 13.0 * 17.396955961735802 1.3260120274062501 0.9156288331343503 1.1264449579977382 0.23356657434615014 * * * 1 42813 catalog * * 9.56e-20 * 2.47e+09 200 0
J1418-3921 214.7 -39.3 1.096806 60.49 60.25 0.2833547677151121 0.214 57063 66.0 -2.5 1 122.59 58.821 22.379 10.0 165.14289154862882 103.02968643145789 0.4874031563781578 0.9597319898060583 13.59715401873965 1.8154961068438318 33.67436797994847 24.00 1.00 3 124315 catalog * * 8.89e-16 * 9.99e+11 200 0
J1434+7257 218.4 72.95 0.041741 12.61 12.61 0.016849366705456132 0.371 55196 74.9 * 2 82.22 3.464 1.889 11.0 4.814945572853082 11.150058382587893 2.5137020382371733 0.9187717105306662 2.1973544627003756 0.6488755507865722 1.6312843216 1.30 * 3 3477 catalog * * 5.50e-19 * 4.85e+09 128 0
J1439+76 219.7 76.91 0.947903 22.29 22.39 0.2448863649373343 0.024 55196 75.8 * 0 84.30000000000001 31.227 6.985 6.0 * 9.742688457315502 1.195121923541162 0.9596512301881116 0.4112252304100992 0.09228103768192362 * * * 1 1969 catalog * * * * * 200 0
J1455-3330 223.9 -33.5 0.007987 13.57 13.56 0.008253618341769098 0.058 56962 69.1 -1.8 0 108.44 2.007 0.554 13.0 34.40939238820273 40.962902372879775 0.6036433354943211 0.8304148587017747 8.79691805302586 1.2667159485275297 11.4453219599 9.00 1.20 2 117995 catalog * * 2.43e-20 * 4.46e+08 50 0
J1501-0046 225.4 -0.77 0.464037 22.26 22.3 0.11988181715473605 0.244 57509 57.7 * 0 93.84 16.014 11.841 7.0 * 23.913923255815163 1.5604505426256459 0.9587346863784761 2.2544115805119733 0.41978644404699056 * * * 2 77261 catalog * * 2.39e-16 * 3.37e+11 200 0
J1505-25 226.3 -25.1 0.999 44.8 44.68 0.25808703904555313 0.001 56754 73.9 * 0 78.73 26.654 11.399 5.0 * 22.38973298389458 1.0599373178643803 0.9596827663568656 1.125866803426252 0.1841206489155925 * * * 2 108358 gbncc * * * * * 200 0
J1509+5531 227.3 55.52 0.739682 19.62 19.61 0.19109343064593873 0.181 55349 70.9 -2.3 0 80.58000000000001 27.725 11.557 16.0 1590.0547237119317 632.0410920824187 20.092675064600655 0.9594542998576426 54.973928571091115 10.921960132153679 154.983808695 114.00 8.00 2 13271 catalog -1.925574 0.188728 5.00e-15 * 1.95e+12 200 0
J1515-32 228.9 -32.6 0.0644 25.0 25.3 0.016637442757290913 0.493 56936 70.5 * 0 91.10000000000001 3.918 2.292 12.0 * 65.93641037399662 2.897765053848315 0.9178764140140089 37.68416676292522 5.362289779696893 * * * 2 116665 gbncc * * * * * 200 0
J1518-0627 229.7 -6.45 0.794997 27.96 27.79 0.20538380558568323 0.205 57998 68.290234 * 0 97.11 41.638 8.268 11.0 * 11.468351664069816 5.983308780359396 0.959520893959345 1.1589295095392382 0.6323756735118327 * * * 1 84437 catalog * * 4.18e-16 * 5.83e+11 200 0
J1518-3950 229.4 -39.8 0.49919 101.5 102.4 0.12896343245360328 0.265 57538 65.2 * 0 128.4 42.884 8.611 17.0 * 17.32703792919208 0.9632911451113984 0.9588907658604251 4.914134280858032 0.6127702555302947 * * * 1 124650 htru_mlt * * * * * 200 0
J1518+4904 229.5 49.07 0.040935 11.61 11.61 0.01652401298693962 0.223 55415 75.5 -1.3 0 80.28 3.333 1.501 10.0 58.344630768878744 82.36134733769644 1.5212274566926232 0.9173849750105969 7.728837198195777 1.5268172870510444 9.51654965671 8.00 4.00 2 18761 catalog -1.139948 0.067363 2.72e-20 * 1.07e+09 128 0
J1524-33 230.8 -32.5 1.5048 80.0 73.3 0.38875813449023855 0.26 56958 46.580468999999994 * 0 93.18 97.478 16.587 16.0 * 8.872896702675979 1.835830249121546 0.9598485835349322 2.085606100433558 0.5366659215351982 * * * 2 117131 superb * * * * * 200 0
J1527-3931 231.9 -39.5 2.417582 49.0 48.77 0.6245711511810074 0.061 57384 69.3 * 2 148.60000000000002 65.335 39.89 5.0 111.96465027594788 144.1344789476718 1.5877295547045305 0.9599356766583784 12.441977628774612 1.5018277622074896 13.8031750289 11.00 * 2 124362 catalog * * 1.91e-14 * 6.87e+12 200 0
J1528-3146 232.1 -31.7 0.060822 18.16 18.19 0.01571308297180043 0.125 56936 68.7 * 2 116.18 5.94 1.008 23.0 17.74019492008437 17.435555983289376 2.7124246887659744 0.9136021810943783 2.734995763620221 0.5595844031263255 4.22242531447 * 0.40 2 116000 catalog * * 2.49e-19 * 3.94e+09 200 0
J1529-26 232.2 -26.4 0.799 45.0 44.56 0.20641796215955652 0.499 56755 58.085352 * 0 84.84 30.908 20.75 7.0 * 20.413366072983848 0.7869682232183458 0.9595252171935706 9.408789792731872 1.490181159707469 * * * 2 109468 gbncc * * * * * 200 0
J1529-3828 232.3 -38.4 0.008486 73.62 73.62 0.008769275729091346 0.101 57129 71.3 * 2 142.10000000000002 1.115 0.809 7.0 5.497098880945462 6.2274369336769055 4.281131730814664 0.841605826749651 1.3263381946636954 0.9252352087522034 1.68897012579 * 0.16 1 123375 catalog * * 2.70e-20 * 4.84e+08 50 1
J1530-21 232.5 -21.3 0.505 38.0 38.05 0.13046441913714146 0.0 56588 72.8 * 0 76.80000000000001 28.942 12.467 12.0 * 11.82462464005157 0.8101971759443851 0.9589136701116202 0.9211225758530588 0.15444819156807663 * * * 1 103690 gbncc * * * * * 200 0
J1532+2745 233.0 27.76 1.124836 14.69 14.64 0.29059618884068444 0.208 56457 74.7 -2.0 0 86.54 46.205 18.587 8.0 143.7104732033794 108.18877619492008 0.49886631648785423 0.9597439255591572 7.548388986884288 1.3707499450429186 16.9795918367 13.00 0.80 3 40831 catalog -1.489097 0.170634 7.80e-16 * 9.48e+11 200 0
J1536-30 234.1 -30.1 1.901 63.0 63.61 0.49111457580139783 0.005 56908 45.380469000000005 * 0 93.18 66.575 13.856 10.0 * 16.178639340771316 1.8770141652052814 0.9599007132778675 1.7528953572420636 0.34505582513353067 * * * 1 114115 gbncc * * * * * 200 0
J1536-3602 234.0 -36.0 1.319759 96.0 86.803598 0.253122 0.148 57095 67.1 * 2 129.8 112.341 51.467 17.0 84.15315799521825 32.1454060409104 1.0513546978554278 0.9598081062711572 5.203922780919072 0.6601264585133109 20.0565202437 * 1.90 3 120880 catalog * * 7.90e-16 * 1.03e+12 200 0
J1543-0620 235.8 -6.34 0.709064 18.38 18.3 0.18318341166546157 0.253 58082 77.2 -2.5 0 91.01 20.365 9.265 5.0 499.53653256823327 150.62180343367598 1.4707950383061876 0.9594110423652312 10.226098048631567 1.7819071574460446 55.8521452486 40.00 2.00 4 84560 catalog -1.354958 0.138109 8.80e-16 * 7.99e+11 200 0
J1544+4937 236.0 49.63 0.002159 23.23 23.22 0.0022310707399373336 0.271 55413 75.1 * 2 82.07 0.413 0.198 10.0 19.796045780315993 31.124409835505485 2.6527669809435284 0.4349000351854275 6.192046671930551 1.3009392665188075 6.77610410511 5.40 * 2 18274 catalog * * 2.93e-21 GRS:Fermi_J1544.2+4941[brr+13],OPT:[tkp+ 8.05e+07 50 0
J1547-0944 236.9 -9.73 1.576925 37.42 36.9 0.40739129534225105 0.145 58252 58.280469 * 0 98.75 42.67 30.093 5.0 * 28.188551512876884 1.571251301770677 0.9598608571673397 1.7920278528628188 0.31972662189797013 * * * 2 88974 catalog * * 2.94e-15 * 2.18e+12 200 0
J1555-0515 238.9 -5.26 0.97541 23.46 23.24 0.25199267142684983 0.051 58051 78.3 * 0 93.54 19.258 10.491 4.0 * 37.591028556088716 1.1343155456023548 0.9596687822966835 1.4901922709151763 0.26144838216843236 * * * 2 82908 catalog * * 2.05e-15 * 1.43e+12 200 0
J1555-2341 238.8 -23.6 0.532578 51.9 51.95 0.13758906814895153 0.189 56718 71.4 -1.6 0 112.91 31.862 13.204 12.0 50.9898403092184 67.86640101023252 0.7733187725101809 0.9590129913142389 7.808316598118881 1.1035667381687786 9.41024016409 7.60 0.90 2 106397 catalog * * 6.94e-16 * 6.15e+11 200 0
J1555-3134 238.8 -31.5 0.51811 73.05 73.11 0.13385132712701853 0.379 56936 64.2 -1.6 0 121.4 32.559 13.386 13.0 48.43266748771291 53.984372974625245 1.5704353658181374 0.9589627318329741 17.49169529496949 2.3631736536958834 23.5256004102 19.00 3.80 1 116123 catalog * * 6.22e-17 * 1.82e+11 200 0
J1603-2531 240.7 -25.5 0.28307 53.76 53.7 0.0731298279705953 0.266 56755 71.4 * 2 115.89 17.972 6.545 13.0 73.45144141251014 20.956704371655157 3.4283313036743652 0.9569188246598328 3.5364741663325647 0.7450323864030465 18.8225114031 15.00 * 3 109070 catalog * * 1.59e-15 * 6.79e+11 200 0
J1603-2712 240.7 -27.2 0.778313 46.2 46.2 0.20107357119185343 0.136 56779 73.8 -1.7 0 118.57000000000001 35.305 20.218 9.0 174.08277405524373 161.82999726834586 1.2224737128889145 0.9595021996343839 15.462714919531797 2.0212321987728945 25.0966818708 20.00 1.70 2 110667 catalog * * 3.01e-15 * 1.55e+12 200 0
J1607-0032 241.8 -0.54 0.421816 10.68 10.72 0.10897421667871776 0.279 57508 58.599999999999994 -1.9 0 100.09 20.72 14.101 9.0 328.32962654516035 168.87701348814 2.6074595311791082 0.9584973111579695 22.514763336279568 3.660334462525932 69.5950672895 54.00 1.70 4 77075 catalog -1.634153 0.324939 3.06e-16 * 3.64e+11 200 0
J1611-29 242.92119999999997 -29.955199999999998 0.0096 83.0 83.033 0.0038751807664497468 0.00625226 56907 70.0 * 0 132.3881289439024 1.169 0.522 15.0 * 22.0684359673529 4.296692644984427 0.959998 3.596693750708577 0.8230819430213029 * * * 1 113950 gbncc * * * * * 128 0
J1612-2408 243.1 -24.1 0.923834 49.0 49.2 0.23866824987948906 0.18 56750 73.9 * 2 118.42 33.455 23.232 7.0 37.71901778928034 95.4707768445275 0.8195285161598566 0.9596346565680294 8.851172647263217 1.175973417735701 5.27803164309 * 0.50 2 107185 catalog * * 1.57e-15 * 1.22e+12 200 0
