num name ra dec p0 p1 dm
1 J2111+21 317.8642608333333 21.240950722222223 3.952 * 58.0
1 J1758-10 269.7158745833333 -10.265848111111112 2.513 * 38.0
1 J2033+00 308.3181245833333 0.5092286388888889 2.506 * 38.0
1 J0459-05 74.75401249999999 -5.098499749999999 1.883 * 48.0
1 J1547-09 236.88104749999997 -9.749847416666666 1.577 * 38.0
1 J2033-19 308.42376291666665 -19.655159555555553 1.282 * 24.0
1 J1853-06 283.2280270833333 -6.825349194444444 1.048 * 43.0
1 J1556-05 238.8640445833333 -5.062017888888889 0.975 * 24.0
1 J1633-20 248.46005583333329 20.103175222222223 0.936 * 49.0
1 J1902-08 285.8865325 -8.801608055555556 0.887 * 67.0
1 J1918-10 289.68362791666664 -10.994029972222222 0.799 * 62.0
1 J1519-06 229.74676416666665 -6.303158861111111 0.795 * 28.0
1 J1736-02 263.8433783333333 -2.683304333333333 0.783 * 55.0
1 J1745-01 266.30663749999997 -1.0691198888888889 0.68 * 67.0
1 J1930-01 292.5205958333333 -1.8921605555555556 0.594 * 36.0
1 J2013-06 303.33798041666665 -6.83951025 0.58 * 64.0
1 J2013-20 303.4286091666666 -20.144291083333332 0.544 * 39.0
1 J1623-08 246.26181875 -8.772403833333334 0.502 * 60.0
1 J1134+24 173.03825166666664 24.932973750000002 0.501 * 23.0
1 J1502+00 225.67615916666662 0.640794 0.464 * 22.0
1 J1613+20 243.20345958333328 20.004397055555554 0.427 * 20.0
1 J1911+22 288.03122541666664 22.67066938888889 0.32 * 47.0
1 J1543-07 235.93776499999998 -7.093207277777777 0.242 * 30.0
1 J1941+01 295.3107920833333 1.484867777777778 0.217 * 51.0
1 J1444+18 221.09385624999996 18.00537925 0.132 * 17.0
1 J1643-10 250.79093499999993 -10.251919777777777 0.0628 * 76.0
1 J0343+04 57.09133958333333 4.471206027777778 0.0391 * 40.5
1 J2221-01 335.47315624999993 -1.5327229444444443 0.032799999999999996 * 3.2
1 J0931-19 142.7291158333333 -19.1038785 0.00464 * 41.5
1 J1738-08 264.39499916666665 -8.290388972222223 0.00418 * 55.3
1 J1923+25 291.01023458333333 25.318464333333335 0.00379 * 18.9
1 J0336+17 54.23829208333333 17.224542277777775 0.00273 * 21.3
1 J1327-07 201.8953895833333 -7.762868777777777 0.00268 * 27.9
1 J2256-10 344.27100749999994 -10.309491416666667 0.00229 * 13.78
1 J1023+00 155.74999999999997 0.0 0.0016899999999999999 * 14.33
