num name ra dec p0 p1 dm
1 J1101-6425  165.4185 -64.42797222222222 0.005108736814 * 207.0
1 J1745-2324 266.37149999999997 -23.415305555555555 0.00542 * 245.0
1 J1618-4623 244.569 -46.38802777777778 0.0059299999999999995 * 125.4
1 J1537-5317  234.45299999999997 -53.29994444444444 0.006927 * 117.5
1 J1758-2743  269.5619999999999 -27.718416666666666 0.0176872126 * 333.9
1 J1726-2953 261.4895 -29.894472222222223 0.02841 * 215.0
1 J1753-2853 268.2795 -28.891472222222223 0.08586 * 18.0
1 J1720-3655  260.1765 -36.92519444444444 0.0921321248 * 341.9
1 J1730-3448  262.5165 -34.811611111111105 0.09982899999999999 * 628.0
1 J1152-6111  178.08149999999998 -61.18866666666666 0.101634 * 216.99
1 J1244-6402  191.1888333333333 -64.03591666666667 0.14727848 * 286.52
1 J1822-0858 275.62499999999994 -8.97813888888889 0.14887999999999998 * 448.0
1 J1613-4926 243.25049999999996 -49.43983333333333 0.1926872 * 439.4
1 J1835-0927 278.84549999999996 -9.459472222222221 0.235232 * 546.78
1 J1830-1033 277.54949999999997 -10.561305555555556 0.245 * 203.0
1 J1847-0429  281.8425 -4.495694444444444 0.259224566 * 188.31
1 J1223-5857 185.92949999999996 -58.95933333333333 0.28854399999999997 * 233.0
1  J1832-0212 278.23650000000004 -2.2121944444444446 0.291929 * 325.4
1 J1514-5322 228.62999999999997 -53.371611111111115 0.296279 * 27.3
1 J1734-2900 263.5935 -29.01161111111111 0.30146 * 314.0
1 J1705-3759 256.31399999999996 -37.99011111111111 0.30523 * 404.0
1 J1755-2553  268.914 -25.886277777777778 0.31522 * 751.0
1 J1526-5524 231.54749999999999 -55.41430555555555 0.35516000000000003 * 127.2
1 J1349-6356  207.35249999999996 -63.94058333333333 0.3730340968 * 478.0
1 J1811-1721  272.85325 -17.362694444444447 0.3913842531 * 545.5
1 J1705-4432  256.45949999999993 -44.54713888888889 0.429921 * 467.0
1 J1755-2605  268.78499999999997 -26.08486111111111 0.430871909 * 405.0
1 J1627-5108  246.88799999999995 -51.135305555555554 0.439684 * 201.0
1 J1838-0106 279.70649999999995 -1.1006111111111112 0.44442569 * 268.9
1 J1228-6308  187.02599999999998 -63.138305555555554 0.4445638004 * 360.0
1 J1746-2752  266.5265416666666 -27.87702777777778 0.48752797550000004 * 443.0
1 J1616-5017  244.158 -50.293166666666664 0.491376 * 194.0
1 J1719-3450 259.7775 -34.84436111111111 0.49378 * 528.0
1 J1653-4108 253.47149999999996 -41.14086111111111 0.49898000000000003 * 416.0
1 J1822-0721 275.53799999999995 -7.358694444444444 0.49907999999999997 * 195.0
