#@ Using S/N > 6 for detection threshold on zuul
#@ Using beam #/users/amcewen/GBNCC_work/beams_rfi.txt to search for pulsars from tmp 
#@ Only searched for published pulsars
#@ Flux adjusted for offset from beam center
#@ Exclamation points next to Wcat and Wsmr indicate cases where W50 is not published, so the average ratio of W50/P0 is used
#@ S/Ne = expected S/N estimated from published flux values using width calculated from data
#@ S/Nc = expected S/N calculated using catalog W50
#@ S/Ns = S/N calulated using Weff (smeared out)
#@ S/Nm = measured S/N 
#@ Flux estimated from measured S/N, uncertainty estimated from dependencies
#@ File generated 2018-10-24 18:29:55 (ET)
#@ DM Searching - DMs is resulting DM from search
#@  PSRJ  	 RA 	 Dec 	 P0 		 DM 	 DMs 		 Dist  	 MJD     BW	 Spindx Temp 	 Wdat  		 Wcat 	 Wsmr 	 S/Ne 	 S/Nc 	S/Ns	S/Nm 	   Flux		dFlux		Status 
#@		(deg)	 (deg) 	 (s) 		 (p/cc)	 (p/cc)		 (deg)	 (day)	(MHz) 		 (K) 	 (ms)  		 (ms)  	  (ms)   				   (mJy)	(mJy)  
J0726-2612  	 111.5 	 -26.2 	 3.442308 	 69.4 	 0.000(0.89) 	 0.290 	 56771 	 92.3 	 * 	 72.16 	 239.024 	 0.19 	 0.77 	 17.066	 149.37	74.561	2.1386	   0.2645    	 0.0691    	Not Detected in 109660
J0733-2345  	 113.3 	 -23.7 	 1.79625  	 194.0 	 190.2(0.46) 	 0.203 	 56722 	 90.6 	 * 	 73.95 	 20.1663 	 0.55 	 2.98 	 20.389	 41.123	17.637	14.796	   0.5362    	 0.1740    	Detected in Beam 106788
J0804-3647  	 121.0 	 -36.7 	 2.191987 	 196.0 	 187.6(0.57) 	 0.239 	 56969 	 78.7 	 * 	 83.18 	 37.2425 	 0.86 	 3.86 	 50.260	 100.21	47.058	37.224	   2.2673    	 0.5366    	Detected in Beam 121284
J0818-3232  	 124.6 	 -32.5 	 2.161259 	 131.8 	 132.0(0.56) 	 0.328 	 56813 	 91.6 	 -1.7 	 68.29 	 39.2695 	 0.54 	 2.18 	 212.19	 554.08	274.92	31.100	   2.1660    	 0.3587    	Detected in Beam 116671
J0912-3851  	 138.1 	 -38.8 	 1.526085 	 71.5 	 71.50(0.39) 	 0.255 	 56972 	 84.0 	 * 	 76.48 	 37.2893 	 1.16 	 4.66 	 15.261	 31.535	15.628	22.177	   1.5339    	 0.3155    	Detected in Beam 123915
J0928+06    	 142.1 	 6.233 	 2.0604   	 50.0 	 49.77(0.53) 	 0.190 	 58057 	 98.3 	 * 	 45.34 	 24.8758 	 2.39! 	 9.57! 	 *	 *	*	30.921	   0.6603    	 0.2298    	Detected in Beam  67999
J0943+41    	 145.7 	 41.15 	 2.229489 	 21.0 	 21.52(0.58) 	 0.067 	 55651 	 97.7 	 * 	 45.34 	 19.3605 	 2.39! 	 9.57! 	 752.83	 640.34	314.30	82.836	   1.1874    	 0.6136    	Detected in Beam  25990
J0943+41    	 145.7 	 41.15 	 2.229489 	 21.0 	 21.52(0.58) 	 0.067 	 55635 	 97.7 	 * 	 45.34 	 17.0296 	 2.39! 	 9.57! 	 803.13	 640.34	314.30	104.42	   1.4031    	 0.7846    	Detected in Beam  25990
J1518-0627  	 229.7 	 -6.45 	 0.794997 	 27.96 	 27.79(0.21) 	 0.205 	 57998 	 98.3 	 * 	 71.41 	 8.72957 	 0.59 	 2.39 	 *	 *	*	25.172	   0.8435    	 0.2731    	Detected in Beam  84437
J1547-0944  	 236.9 	 -9.73 	 1.576925 	 37.42 	 36.90(0.41) 	 0.145 	 58252 	 98.3 	 * 	 73.05 	 30.0934 	 0.95 	 3.80 	 *	 *	*	41.552	   1.6122    	 0.4835    	Detected in Beam  88974
J1622-3751  	 245.5 	 -37.8 	 0.731463 	 153.8 	 155.7(0.19) 	 0.022 	 57152 	 92.9 	 * 	 141.2 	 16.1832 	 1.66 	 6.85 	 29.562	 48.489	23.607	7.2071	   0.5147    	 0.1628    	Detected in Beam 122634
J1623-0908  	 245.8 	 -9.14 	 1.276446 	 68.18 	 68.18(0.33) 	 0.203 	 58257 	 98.3 	 -1.8 	 82.44 	 14.2920 	 0.57 	 2.30 	 196.41	 388.97	193.61	129.16	   5.0174    	 1.5875    	Detected in Beam  87822
J1623-0908  	 245.8 	 -9.14 	 1.276446 	 68.18 	 68.18(0.33) 	 0.203 	 58257 	 98.3 	 -1.8 	 82.44 	 14.2920 	 0.57 	 2.30 	 196.41	 388.97	193.61	129.16	   5.0174    	 1.5875    	Detected in Beam  87822
J1627+86    	 246.7 	 86.9  	 0.395785 	 46.0 	 46.60(0.10) 	 0.016 	 55149 	 94.8 	 * 	 58.45 	 6.40579 	 2.39! 	 9.57! 	 282.23	 328.97	161.46	18.579	   0.4625    	 0.1772    	Detected in Beam  00110
J1629+43    	 247.2 	 43.98 	 0.181173 	 7.3 	 7.300(0.05) 	 0.058 	 55553 	 95.8 	 * 	 54.88 	 5.25756 	 2.39! 	 9.57! 	 125.15	 196.62	96.509	52.719	   1.6915    	 0.5660    	Detected in Beam  23222
J1632-1013  	 248.2 	 -10.2 	 0.717637 	 89.9 	 89.97(0.19) 	 0.243 	 58349 	 98.3 	 * 	 88.40 	 14.3187 	 2.39! 	 9.57! 	 24.827	 32.194	15.800	19.474	   1.2419    	 0.2726    	Detected in Beam  89741
J1700-3312  	 255.2 	 -33.2 	 1.358307 	 166.9 	 167.2(0.35) 	 0.139 	 56989 	 91.6 	 -1.8 	 203.7 	 49.2740 	 1.16 	 4.83 	 173.32	 438.95	213.69	31.952	   4.9233    	 1.2193    	Detected in Beam 117534
J1700-3611  	 255.2 	 -36.1 	 1.494091 	 232.7 	 233.9(0.39) 	 0.159 	 57129 	 93.4 	 -2.2 	 232.1 	 34.1458 	 0.67 	 6.67 	 129.90	 340.30	106.92	17.476	   2.5036    	 0.6421    	Detected in Beam 120728
